刃 |は |[1] edge (of a knife or sword); blade [2] prong (of an electrical plug) |N/A
派 |は |[1] group; faction; clique; coterie [2] (political) faction; wing; camp [3] school (of thought, painting, etc.) |N/A
把握 |はあく |grasp (of the situation, meaning, etc.); understanding; control; hold; grip |1770
肺 |はい |lung |N/A
廃棄 |はいき |[1] disposal; abandonment; scrapping; discarding; abolition [2] annulment; cancellation; abrogation; repeal |N/A
配給 |はいきゅう |[1] distribution (e.g. films, rice) [2] rationing (e.g. food, gasoline) [3] food ration |N/A
配偶者 |はいぐうしゃ |spouse; wife; husband; partner |N/A
背景 |はいけい |[1] background; scenery; backdrop; setting [2] background (of an incident, situation, etc.); circumstances; context [3] backing; support (from behind the scenes) |1275
拝啓 |はいけい |Dear (so and so); Dear Sir; Dear Madam; To Whom It May Concern |N/A
背後 |はいご |[1] back; rear [2] background; behind the scenes |3074
廃止 |はいし |abolition; discontinuance; discontinuation; repeal; annulment |2753
拝借 |はいしゃく |borrowing |N/A
排除 |はいじょ |exclusion; removal; elimination; clearing away; getting rid of |3563
敗戦 |はいせん |defeat; lost battle; losing a war |N/A
配置 |はいち |arrangement (of resources); deployment; stationing; posting; disposition; configuration; layout |2782
配布 |はいふ |distribution |4068
配分 |はいぶん |distribution; allotment |N/A
配慮 |はいりょ |consideration; concern; attention; thoughtfulness; making arrangements; care; trouble |2067
配列 |はいれつ |[1] arrangement; disposition [2] array |N/A
映える |はえる |[1] to shine; to glow [2] to look attractive; to look nice; to be set off (by) |N/A
破壊 |はかい |[1] destruction; disruption [2] (application) crash |2087
捗る |はかどる |to make (good) progress; to move right ahead (with the work); to advance |N/A
図る |はかる |[1] to plan; to attempt; to devise [2] to plot; to conspire; to scheme [3] to aim for; to strive for; to work towards; to seek |587
破棄 |はき |[1] tearing up and discarding (e.g. documents); destruction [2] annulment; cancellation; abrogation; voiding; breaking (e.g. a treaty) [3] reversal (of an original ruling on appeal); quashing |N/A
泊 |はく |[1] counter for nights of a stay [2] overnight stay; lodging |N/A
迫害 |はくがい |persecution; oppression |N/A
薄弱 |はくじゃく |feebleness; weakness; weak |N/A
白状 |はくじょう |confession |N/A
