内閣 |ないかく |cabinet (of a government); ministry |N/A
乃至 |ないし |[1] from ... to; between ... and [2] or |2494
内臓 |ないぞう |internal organs; viscera |N/A
|ナイター |game under lights (e.g. baseball); night game |N/A
内部 |ないぶ |interior; inside; internal |2660
内乱 |ないらん |civil war; insurrection; rebellion; domestic conflict |N/A
内陸 |ないりく |inland |N/A
苗 |なえ |[1] seedling; young plant [2] rice seedling |N/A
尚 |なお |[1] still; yet [2] more; still more; greater; further [3] as ...; like ... |N/A
尚更 |なおさら |[1] still more; even more; all the more [2] still less; even less |N/A
中ほど |なかほど |(about) middle; midway |N/A
流し |ながし |[1] sink (e.g. in a kitchen) [2] cruising (e.g. taxi); strolling (entertainer, musician, etc.) [3] washing area (in a Japanese-style bath) |N/A
長々 |ながなが |[1] for a long time; at (great) length; lengthily; long-windedly; tediously [2] (extending) far; (stretching) out; (lying down) at full length |N/A
嘆く |なげく |[1] to lament; to grieve; to regret [2] to deplore |N/A
投げ出す |なげだす |[1] to throw down; to throw out; to stretch out (one's legs) [2] to abandon; to resign [3] to give freely; to give generously; to sacrifice (e.g. one's life) |N/A
仲人 |なこうど |[1] matchmaker [2] go-between; intermediary; middleman; mediator; intercessor |N/A
和やか |なごやか |mild; calm; gentle; quiet; congenial; amicable; amiable; friendly; genial; harmonious; peaceful |N/A
名残 |なごり |[1] remains; traces; vestiges; relics [2] (the sorrow of) parting [3] end |N/A
情け |なさけ |[1] pity; sympathy; compassion; mercy [2] affection; love |N/A
情け深い |なさけぶかい |tender-hearted; compassionate; charitable; good-hearted |N/A
詰る |なじる |[1] to rebuke; to scold; to tell off; to find fault; to harp on; to reprove [2] to question persistently (in order to criticize or find fault with someone) |N/A
名高い |なだかい |famous; noted; renowned; celebrated; well-known |N/A
雪崩 |なだれ |avalanche; snowslide |N/A
懐く |なつく |to become attached (to); to take (to); to become affectionate (with); to be tamed; to get close (e.g. to someone emotionally); to become intimate (with) |N/A
名付ける |なづける |to name; to call; to christen; to term |3772
何気ない |なにげない |[1] casual; unconcerned; nonchalant; indifferent; offhand [2] ordinary; normal; regular; everyday; unremarkable |N/A
何卒 |なにとぞ |[1] please; kindly; I beg of you; if it pleases you [2] by all means; without fail |N/A
何より |なにより |[1] above anything else; above all; more than anything [2] best; greatest; excellent; wonderful; most important |2551
名札 |なふだ |name plate; name tag; label |N/A
|ナプキン |[1] (table) napkin; serviette [2] sanitary napkin; sanitary pad |N/A
生臭い |なまぐさい |[1] smelling of fish; fishy; smelling of blood; bloody [2] degenerate (of a monk); depraved; corrupt; fallen [3] worldly; mundane; secular; common; ordinary |N/A
生ぬるい |なまぬるい |[1] lukewarm; tepid [2] half-hearted; vague; weak [3] lenient; mild; soft |N/A
生身 |なまみ |[1] living flesh; flesh and blood [2] physical body of Buddha or a bodhisattva |N/A
鉛 |なまり |lead (Pb) |N/A
並 |なみ |[1] average; medium; common; ordinary [2] mid-grade (item); regular grade [3] same level as; equal to; equivalent to; on par with |N/A
滑らか |なめらか |[1] smooth (of a surface); glassy; velvety; soft [2] smooth (of an action, proceedings, etc.); fluent (speech); fluid; trouble-free [3] continuously differentiable |N/A
舐める |なめる |[1] to lick; to lap; to suck [2] to taste [3] to experience (esp. a hardship) |3715
悩ましい |なやましい |[1] seductive; carnal; enchanting [2] troubling; difficult; thorny; hard [3] anxious; uneasy |N/A
悩ます |なやます |to afflict; to torment; to harass; to molest |N/A
悩み |なやみ |trouble; troubles; worry; distress; sorrows; anguish; agony; problem |2258
慣らす |ならす |[1] to accustom; to train (e.g. one's ear) [2] to tame; to domesticate; to train (an animal) |N/A
並びに |ならびに |and (also); both ... and; as well as |3461
成り立つ |なりたつ |[1] to consist of; to be made up of; to be composed of [2] to be concluded (e.g. of an agreement); to hold true (e.g. of a theory); to be valid [3] to be viable (of a business, lifestyle, etc.); to carry on; to keep going |2388
成る丈 |なるたけ |as (much) as possible; as (much) as one can; wherever practicable; if possible |N/A
馴れ馴れしい |なれなれしい |overly familiar; overfamiliar; too friendly; too free; cheeky |N/A
難 |なん |[1] difficulty; trouble; hardship; shortage [2] accident; disaster; danger [3] fault; defect; flaw |N/A
|なんか |something like ...; things like ...; someone like ...; the likes of ... |N/A
|ナンセンス |nonsense |N/A
何だか |なんだか |(a) little; somewhat; somehow |1917
何だかんだ |なんだかんだ |something or other; one thing or another; this or that |N/A
何て |なんて |[1] how ...!; what ...! [2] what?; what's that? |N/A
何と |なんと |[1] what; how [2] what (a) ...!; how ...! [3] surprisingly; to my amazement; believe it or not; why, ...! |2419
何なり |なんなり |anything; whatever |N/A
荷 |に |[1] load; baggage; cargo; freight; goods [2] burden; responsibility |N/A
似通う |にかよう |to resemble closely |N/A
面皰 |にきび |pimple; acne |N/A
賑わう |にぎわう |[1] to be crowded with people; to be bustling with [2] to prosper; to flourish; to do thriving business |4082
憎しみ |にくしみ |hatred |N/A
肉親 |にくしん |blood relationship; blood relative |N/A
肉体 |にくたい |the body; the flesh; the outer man; one's physique |3606
逃げ出す |にげだす |[1] to run away; to flee; to make off; to take to one's heels; to escape [2] to start to run away |4544
西日 |にしび |westering sun; setting sun; afternoon sun |N/A
滲む |にじむ |[1] to run (of liquid); to spread; to bleed; to blot [2] to blur; to blot; to be blurred [3] to ooze; to well up (of tears, etc.) |N/A
日夜 |にちや |day and night; around the clock; always; constantly |N/A
日当 |にっとう |daily allowance; daily wages |N/A
荷造り |にづくり |packing; baling; crating |N/A
担う |になう |[1] to carry on one's shoulder; to shoulder; to bear [2] to bear (a burden, responsibility, etc.); to take upon oneself |2667
鈍る |にぶる |[1] to become blunt; to grow dull [2] to become less capable; to weaken; to falter |N/A
にも関わらず |にもかかわらず |[1] in spite of; despite; although [2] nonetheless; nevertheless; but; (and) yet |N/A
|ニュアンス |nuance |N/A
入手 |にゅうしゅ |acquisition; obtaining; procurement; getting (hold of) |3398
入賞 |にゅうしょう |winning a prize; placing (high; in a contest) |N/A
入浴 |にゅうよく |bathing; going in the bath |N/A
|ニュー |new |N/A
尿 |にょう |urine |N/A
認識 |にんしき |recognition; awareness; perception; understanding; knowledge; cognition; cognizance; cognisance |1090
妊娠 |にんしん |pregnancy; conception; gestation |2079
人情 |にんじょう |[1] humanity; empathy; kindness; sympathy [2] human nature; common sense; customs and manners |N/A
任務 |にんむ |duty; function; office; mission; task; role |4566
任命 |にんめい |appointment; nomination; ordination; commission; designation |N/A
抜け出す |ぬけだす |[1] to slip out; to sneak away; to break free; to get through (a difficult situation) [2] to break into the lead; to get ahead [3] to begin to fall out (e.g. hair) |N/A
盗み |ぬすみ |stealing; theft |N/A
沼 |ぬま |[1] marsh; swamp; wetland; bog; pond [2] obsession; addiction; being hooked on; getting sucked into [3] ugly man |N/A
音色 |ねいろ |tone color; tone colour; tone quality; timbre |N/A
値打ち |ねうち |[1] value; worth; merit [2] estimation; evaluation; appraisal |N/A
寝かせる |ねかせる |[1] to put to bed; to let sleep [2] to lay (something) down; to put on its side [3] to let (money, goods, etc.) lie idle; to set aside unused; to let (stock) lie unsold |N/A
|ネガ |[1] negative [2] negative (e.g. thinking) |N/A
ねじ回し |ねじまわし |screwdriver |N/A
捩れる |ねじれる |[1] to get twisted; to get crooked; to get warped [2] to become twisted (of a mind, relationship, etc.); to become warped; to become perverse; to become contrary [3] to become troubled; to become complicated; to become strained |N/A
妬む |ねたむ |to be jealous of; to envy; to begrudge |N/A
強請る |ねだる |to beg; to pester; to plead; to coax; to hound; to importune |N/A
熱湯 |ねっとう |boiling water |N/A
熱意 |ねつい |zeal; enthusiasm; ardor; ardour |N/A
熱量 |ねつりょう |[1] quantity of heat (e.g. in calories, BTU, etc.); heat value; calorific value [2] (degree of) enthusiasm; zeal; passion |N/A
粘り |ねばり |[1] stickiness; viscosity [2] tenacity; persistence |N/A
粘る |ねばる |[1] to be sticky; to be adhesive [2] to persevere; to persist; to stick to; to hold out; to linger |N/A
値引き |ねびき |price reduction; discount |N/A
根回し |ねまわし |[1] laying the groundwork; behind-the-scenes maneuvering; consensus-building process [2] digging around the roots of a tree (before transplanting) |N/A
眠たい |ねむたい |sleepy; drowsy |N/A
練る |ねる |[1] to knead; to thicken into a paste (stirring over a flame) [2] to polish (a plan, etc.); to refine; to elaborate; to work out [3] to train; to drill; to exercise |4146
念 |ねん |[1] sense; idea; thought; feeling [2] desire; concern [3] attention; care |2841
年鑑 |ねんかん |yearbook; almanac; annual |N/A
