再 |さい |re-; again |N/A
差異 |さい |difference; disparity; gap |N/A
再会 |さいかい |meeting again; reunion |4636
災害 |さいがい |calamity; disaster; misfortune |2999
細菌 |さいきん |bacterium; bacteria; germ |N/A
細工 |さいく |[1] work; workmanship; craftsmanship; handiwork [2] artifice; trick; device; tampering; doctoring |N/A
採掘 |さいくつ |mining; digging; working (a mine) |N/A
|サイクル |cycle |N/A
採決 |さいけつ |vote; ballot; division |N/A
再建 |さいけん |[1] rebuilding; reconstruction; rehabilitation [2] protoform reconstruction |N/A
再現 |さいげん |[1] reappearance; reemergence; return; revival [2] reproduction; reenactment; recreation |N/A
採算 |さいさん |profit |N/A
採集 |さいしゅう |collecting; gathering |N/A
|サイズ |size |2109
再生 |さいせい |[1] restoration to life; coming to life again; resuscitation; regeneration [2] reformation; rehabilitation [3] recycling; reclamation; recovery |3474
最善 |さいぜん |the very best; utmost |N/A
採択 |さいたく |adoption; selection; choice |N/A
再発 |さいはつ |return; relapse; recurrence |N/A
栽培 |さいばい |cultivation |3732
細胞 |さいぼう |[1] cell [2] cell (in an organization, esp. a communist party) |2861
採用 |さいよう |[1] use; adoption; acceptance [2] appointment; employment; engagement; recruitment |1583
囀る |さえずる |to sing; to chirp; to twitter |N/A
冴える |さえる |[1] to be clear (of a sight, sound, colour, etc.); to be bright; to be vivid; to be crisp [2] to be clear-headed; to be alert; to be on the ball; to be wide awake [3] to look upbeat; to be perky; to be cheerful |N/A
竿 |さお |[1] rod; pole [2] neck (of a shamisen, etc.); shamisen [3] beam (i.e. the crossbar of a balance) |N/A
栄える |さかえる |to prosper; to flourish |4810
杯 |さかずき |[1] sake cup; cup for alcoholic beverages [2] Sakadzuki |N/A
逆立ち |さかだち |[1] handstand; headstand [2] being upside down; being in reverse |N/A
盛る |さかる |[1] to become vigorous; to gain force; to become more active [2] to prosper; to thrive; to flourish [3] to be in heat; to be in rut; to copulate |N/A
差額 |さがく |balance; difference (in price, cost); margin |N/A
先に |さきに |[1] previously; before; earlier; formerly; recently [2] first; before (something or someone else); ahead (of); earlier [3] beforehand; in advance; ahead of time |N/A
詐欺 |さぎ |[1] fraud; swindle; graft; cheating; trick; scam [2] saying you're going to do something but in the end not doing it; making promises without keeping them; flaking out |N/A
作 |さく |[1] work (e.g. of art); piece; production [2] harvest; crop; yield; cultivation; tillage [3] technique |N/A
柵 |さく |[1] fence; paling; railing [2] fortress |N/A
策 |さく |[1] plan; policy; means; measure; stratagem; scheme [2] fifth principle of the Eight Principles of Yong; right upward flick |N/A
削減 |さくげん |cut; reduction; curtailment |3652
錯誤 |さくご |[1] mistake; error; discrepancy [2] discrepancy between one's actions and intentions |N/A
作戦 |さくせん |[1] tactics; strategy [2] military operation; naval operation |N/A
作物 |さくぶつ |artistic work; literary work |N/A
叫び |さけび |shout; cry; outcry; yell; shriek; scream |N/A
裂ける |さける |to split; to tear; to burst; to be separated; to be divided |N/A
捧げる |ささげる |[1] to lift up; to hold up; to hold above eye level [2] to give; to offer; to consecrate [3] to devote; to sacrifice; to dedicate |4693
差し掛かる |さしかかる |[1] to come near (to); to approach [2] to be on the verge of; to be about to reach (a stage, period, etc.); to approach (e.g. a climax) [3] to overhang; to hang over |N/A
指図 |さしず |directions; instructions; orders; command |N/A
差し出す |さしだす |[1] to hold out; to extend (e.g. a hand) [2] to present; to submit; to tender [3] to sacrifice; to give (up) |3718
差し支える |さしつかえる |to interfere (with); to hinder; to be hindered (from doing); to become impeded; to have difficulty; to suffer inconvenience |N/A
差し引く |さしひく |[1] to deduct; to take away; to dock; to discount [2] to make allowances (for something); to bear (something) in mind [3] to ebb and flow |N/A
些事 |さじ |something small; something petty; trifle |N/A
授ける |さずける |[1] to grant; to give; to confer; to award [2] to teach; to instruct; to impart (knowledge) |N/A
嘸 |さぞ |surely; certainly; no doubt; must |N/A
定める |さだめる |[1] to decide; to determine [2] to establish; to lay down; to prescribe; to provide; to stipulate [3] to bring peace (to); to make peaceful |714
錯覚 |さっかく |[1] optical illusion; hallucination [2] misapprehension; delusion |4558
察する |さっする |[1] to guess; to sense; to presume; to judge [2] to sympathize with; to sympathise with |N/A
颯と |さっと |[1] quickly (esp. actions) [2] suddenly (esp. wind, rain, etc.) |3820
冊 |さつ |[1] counter for books [2] volume |N/A
殺人 |さつじん |murder; homicide; manslaughter |4400
悟る |さとる |[1] to perceive; to sense; to become aware; to notice; to detect; to discern [2] to understand; to comprehend; to realize [3] to attain enlightenment |4633
裁く |さばく |to judge; to try; to sit in judgement (on); to decide (on) |N/A
然程 |さほど |(not) so; (not) particularly; (not) very; (not) that much |3992
|サボる |to be truant; to slack off; to play hooky; to skip school; to cut class; to skip out |N/A
様 |さま |[1] Mr; Mrs; Miss; Ms [2] makes a word more polite (usu. in fixed expressions) [3] state; situation; appearance; manner |4025
寒気 |さむけ |[1] chill; the shivers; shivering fit [2] cold; coldness; cold air [3] Samuke |N/A
然も |さも |[1] really (seem, appear, etc.); truly; evidently [2] in that way |N/A
作用 |さよう |action; operation; process; agency; effect; function |2932
障る |さわる |to be harmful to; to hinder; to interfere with; to irritate |N/A
|さん |[1] Mr.; Mrs.; Miss; Ms.; -san [2] politeness marker |N/A
|サン |[1] Sun [2] San |N/A
酸 |さん |[1] acid [2] sourness; sour taste |N/A
酸化 |さんか |oxidation; oxidization |N/A
山岳 |さんがく |mountain chain; mountains |N/A
産休 |さんきゅう |maternity leave; paternity leave |N/A
|サンキュー |thank you; thanks |N/A
参議院 |さんぎいん |House of Councillors (upper house of the National Diet of Japan) |N/A
産後 |さんご |after childbirth; postpartum |N/A
産出 |さんしゅつ |production; output; turning out |N/A
参照 |さんしょう |[1] reference (e.g. to a dictionary, passage, footnotes); consultation; comparison [2] browsing (to a file or folder) |2497
参上 |さんじょう |calling on; visiting |N/A
|サンタクロース |Santa Claus |N/A
桟橋 |さんばし |wharf; bridge; jetty; pier |N/A
賛美 |さんび |praise; glorification; extolment |N/A
産婦人科 |さんふじんか |maternity and gynaecology department (gynecology); department of obstetrics and gynaecology (gynecology) |N/A
産物 |さんぶつ |[1] product; produce [2] result; fruit [3] Sanbutsu |N/A
山腹 |さんぷく |hillside; mountainside |N/A
山脈 |さんみゃく |mountain range; mountain belt |N/A
財 |ざい |[1] fortune; riches [2] goods [3] incorporated foundation |N/A
財源 |ざいげん |source of funds; resources; finances |N/A
在庫 |ざいこ |stock; inventory |N/A
財政 |ざいせい |[1] public finance [2] financial affairs; financial situation |N/A
座談会 |ざだんかい |symposium; round-table discussion |N/A
雑貨 |ざっか |miscellaneous goods; general goods; sundries |N/A
雑 |ざつ |[1] rough; crude; sloppy; messy [2] miscellaneous |N/A
雑談 |ざつだん |chatting; idle talk |N/A
座標 |ざひょう |coordinate; coordinates |N/A
残金 |ざんきん |remaining money |N/A
残酷 |ざんこく |cruel; brutal; ruthless; merciless; inhuman |N/A
残高 |ざんだか |(bank) balance; remainder |N/A
死 |し |[1] death [2] (an) out [3] death penalty (by strangulation or decapitation; most severe of the five ritsuryō punishments) |912
秭 |し |10^24; septillion |N/A
仕上がり |しあがり |finish; end; completion; result |N/A
仕上げ |しあげ |finish; finishing; finishing touches |N/A
仕上げる |しあげる |to finish up; to complete; to finish off; to get through; to polish off |3472
