相変わらず |あいかわらず |as usual; as always; as before; as ever; still |2629
|アイデア |idea |3314
曖昧 |あいまい |[1] vague; ambiguous; unclear [2] shady; disreputable [3] fuzzy |3339
扇ぐ |あおぐ |[1] to fan [2] to incite; to instigate |N/A
青白い |あおじろい |[1] pale; pallid [2] bluish-white |N/A
呆れる |あきれる |to be amazed; to be shocked; to be astonished; to be astounded; to be disgusted; to be exasperated; to be fed up |4957
|アクセント |[1] accent (on a syllable, word); stress; pitch accent [2] intonation; inflection; cadence [3] (language) accent (e.g. American, British) |N/A
欠伸 |あくび |[1] yawn; yawning [2] kanji "yawning" radical (radical 76) |N/A
飽くまで |あくまで |[1] to the end; to the bitter end; to the last; stubbornly; persistently; consistently; to the utmost [2] after all; it must be remembered; only; purely; simply |1482
明け方 |あけがた |dawn; daybreak |N/A
憧れる |あこがれる |to long for; to yearn for; to hanker after; to be attracted by; to be drawn to; to aspire to; to admire; to adore |3389
足跡 |あしあと |[1] footprints [2] record of page visitors (e.g. in social networking sites) |N/A
味わう |あじわう |[1] to taste; to savor; to savour; to relish [2] to appreciate; to enjoy; to relish; to digest [3] to experience; to go through; to taste (e.g. victory); to know (e.g. pain) |1891
預かる |あずかる |[1] to look after; to take care of; to keep; to hold on to; to keep in custody [2] to be put in charge of; to be given responsibility for; to be entrusted with [3] to withhold (an announcement); to reserve (judgment); to leave undecided |3749
温める |あたためる |[1] to warm (up); to heat (up) [2] to sit on (an idea, plan, etc.); to keep to oneself; to nurse; to mull over [3] to renew (an old friendship) |2485
当たり前 |あたりまえ |[1] natural; reasonable; obvious [2] usual; common; ordinary; commonplace; the norm |1159
圧縮 |あっしゅく |[1] compression [2] condensing; shortening; summarizing [3] compression (of data) |N/A
厚かましい |あつかましい |impudent; shameless; brazen; cheeky; presumptuous |N/A
当てはまる |あてはまる |to apply (of a rule); to be applicable (of standards, lessons, ideas, etc.); to hold true (e.g. of a description); to fit; to be suitable (e.g. of a word); to meet (requirements); to fulfill (conditions); to come under (a heading) |4244
当てはめる |あてはめる |to apply; to adapt |N/A
暴れる |あばれる |to act violently; to rage; to struggle; to be riotous |N/A
溢れる |あふれる |to overflow; to brim over; to flood |1668
脂 |あぶら |fat; tallow; lard; grease |N/A
