灰色 |はいいろ |grey; gray; ashen |N/A
俳句 |はいく |haiku; 17-mora poem, usu. in 3 lines of 5, 7 and 5 morae |3848
這う |はう |[1] to crawl; to creep; to go on all fours [2] to slither; to wriggle [3] to trail (of vines, flowers, etc.); to spread; to creep |4691
生える |はえる |[1] to grow; to spring up; to sprout [2] to cut (teeth) |2076
秤 |はかり |scales; weighing machine |N/A
剥がす |はがす |to tear off; to peel off; to rip off; to strip off; to skin; to flay; to disrobe; to deprive of; to detach; to disconnect |N/A
|はきはき |briskly; smartly; promptly; clearly; lucidly |N/A
掃く |はく |[1] to sweep; to brush; to clean [2] to gather silkworms |N/A
歯車 |はぐるま |[1] gear; cogwheel [2] cog (in an organization, company, etc.); cog in the machine |N/A
挟まる |はさまる |to get between; to be caught in |N/A
挟む |はさむ |[1] to hold between (e.g. one's fingers, chopsticks); to grip (from both sides) [2] to put between; to sandwich between; to insert; to interpose [3] to catch (e.g. a finger in a door); to trap; to pinch |1634
梯子 |はしご |[1] ladder [2] stairs [3] going to several places in succession (e.g. barhopping) |N/A
初めに |はじめに |[1] first; firstly; first of all; to begin with; in the beginning; at the beginning [2] Introduction; Preface |N/A
初めまして |はじめまして |nice to meet you; I'm glad to make your acquaintance; how do you do? |N/A
斜 |はす |diagonal |N/A
外れる |はずれる |[1] to be disconnected; to get out of place; to be off; to be out (e.g. of gear) [2] to miss the mark; to get it wrong (e.g. guess, expectation); to draw a blank (e.g. lottery) [3] to be removed; to be excluded |2199
果たして |はたして |[1] as was expected; just as one thought; sure enough [2] really; actually; ever |1912
肌着 |はだぎ |underwear; underclothes; lingerie; chemise; singlet |N/A
鉢 |はち |[1] bowl; pot; basin [2] flowerpot [3] crown; brainpan |N/A
発揮 |はっき |show (of power, ability, etc.); exhibition; demonstration; display; manifestation |2054
発射 |はっしゃ |[1] firing (esp. a rocket or missile); launching; shooting; discharge; catapult [2] ejaculation |N/A
発想 |はっそう |[1] idea; conception [2] way of thinking; approach [3] expression |2272
発電 |はつでん |[1] generation of electricity; power generation [2] sending a telegram; telegraphing |N/A
発売 |はつばい |sale; offering for sale; release (for sale); launch (product) |2387
派手 |はで |showy; loud; flashy; gaudy |3702
話し合い |はなしあい |discussion; talk; tête-à-tête; conference |2823
話しかける |はなしかける |[1] to address (someone); to accost a person; to talk (to someone) [2] to begin to talk; to start a conversation |2320
話し中 |はなしちゅう |[1] busy (phone) [2] in talks; discussion underway |N/A
花火 |はなび |fireworks |2896
花嫁 |はなよめ |bride |N/A
放れる |はなれる |to get free (from); to be freed; to be released |N/A
破片 |はへん |fragment; broken piece; splinter; chip; shard |N/A
歯磨き |はみがき |[1] dental brushing; brushing one's teeth [2] dentifrice; toothpaste; tooth powder |N/A
嵌める |はめる |[1] to fit (e.g. a pane into a frame); to insert (e.g. a cork); to fasten (a button) [2] to put on (something that envelops; e.g. a ring, gloves); to place (a hoop) around; to attach (e.g. a hose to a tap) [3] to pigeonhole (into a particular category); to force (into a mold); to place (restrictions) on |N/A
流行る |はやる |[1] to be popular; to come into fashion [2] to be prevalent; to spread widely (e.g. disease); to be endemic [3] to flourish; to thrive |1972
払い込む |はらいこむ |to deposit; to pay in |N/A
払い戻す |はらいもどす |to repay; to pay back; to refund; to reimburse |N/A
針金 |はりがね |wire |N/A
張り切る |はりきる |to be in high spirits; to be full of vigor (vigour); to be enthusiastic; to be eager; to stretch to breaking point |N/A
