蚊 |か |mosquito |4055
開会 |かいかい |opening of a meeting |N/A
会館 |かいかん |meeting hall; assembly hall |N/A
解散 |かいさん |[1] breaking up (a meeting, gathering, etc.); dispersal (e.g. of a crowd) [2] dissolution (of a company, organization, etc.); winding-up; disbandment; split-up [3] dissolution (of the Diet, Parliament, etc.) |3515
海水浴 |かいすいよく |swimming in the ocean; sea bathing; seawater bath; going for a dip in the ocean |N/A
回数 |かいすう |number of times; frequency; count |4029
回数券 |かいすうけん |coupon tickets; discount tickets; book of tickets |N/A
改正 |かいせい |revision; amendment; alteration |2091
快晴 |かいせい |clear weather; cloudless weather; good weather |N/A
解説 |かいせつ |explanation; commentary; exposition; elucidation |2478
改造 |かいぞう |[1] remodeling; remodelling; reconstruction; conversion; alteration; renovation; modification; reshuffling (e.g. a cabinet); reorganization; restructuring [2] modding |N/A
開通 |かいつう |[1] opening (of a new road, railway, etc.); going into operation (e.g. telephone communication); beginning services [2] reopening (e.g. of a road to traffic); resumption of services |N/A
回転 |かいてん |[1] rotation; revolution; turn; spin [2] working (e.g. of one's mind); function [3] turnover (of goods, funds, etc.); circulation; flow (of customers) |3517
回答 |かいとう |reply; answer |1443
解答 |かいとう |answer; solution |N/A
開放 |かいほう |[1] opening (a door, window, etc.); leaving open [2] opening up (e.g. to the public); allowing (public) access |N/A
解放 |かいほう |[1] release; unleashing; liberation; emancipation; setting free [2] deallocation (of computer memory) |2922
海洋 |かいよう |[1] ocean; sea [2] Kaiyou |N/A
帰す |かえす |to send (someone) back; to send (someone) home |N/A
却って |かえって |on the contrary; rather; instead; all the more |2021
返る |かえる |[1] to return; to come back; to go back [2] to turn over [3] to become extremely; to become completely |197
家屋 |かおく |house; building |N/A
関わる |かかわる |[1] to be involved (in); to get involved (in); to concern oneself (with); to take part (in); to interfere (in) [2] to relate to (a matter); to pertain to; to concern; to have to do with [3] to (seriously) affect; to concern; to have a serious bearing (on) |665
書き取り |かきとり |[1] writing down from other written material; writing kanji text from hiragana [2] transcription (of spoken material); dictation |N/A
垣根 |かきね |[1] hedge; fence [2] border; limit |N/A
掻く |かく |[1] to scratch [2] to perspire [3] to shovel; to paddle |N/A
架空 |かくう |[1] fictitious; imaginary; fanciful; fabricated [2] aerial; overhead |N/A
各自 |かくじ |each (person); everyone; individual; respective |N/A
拡充 |かくじゅう |expansion |N/A
各地 |かくち |each place; every place; various places; all parts (of the country, world, etc.) |2582
角度 |かくど |angle |3527
格別 |かくべつ |[1] particular; special; exceptional; especial [2] particularly; especially; exceptionally |N/A
確率 |かくりつ |probability; likelihood; chances |3576
嗅ぐ |かぐ |to sniff; to smell |N/A
掛け算 |かけざん |multiplication |N/A
可決 |かけつ |approval; adoption (of a motion, bill, etc.); passage |N/A
ｘ (ｘ) |ばつ |[1] x (mark); cross [2] MDMA; ecstasy; molly |N/A
火口 |かこう |[1] (volcanic) crater; caldera [2] burner (of a boiler) |N/A
下降 |かこう |descent; fall; drop; decline; downturn; subsidence |N/A
重なる |かさなる |[1] to be piled up; to lie on top of one another [2] to come one after another; to happen over and over; to pile up (e.g. stress); to accumulate [3] to overlap (each other); to occur at the same time; to happen simultaneously |2581
重ねる |かさねる |[1] to pile up; to heap up; to stack up; to put on top of another [2] to repeat many times over; to go through repeatedly; to accumulate |1582
