まあまあ |[1] so-so; passable; not (so) bad; reasonable [2] now, now; there, there; there now [3] my, my; oh my!; dear me! |5000
枚数 |まいすう |[1] the number of flat things [2] win-loss difference which influences the ranking of wrestlers |N/A
毎度 |まいど |[1] each time; always; often [2] thank you for your continued patronage |N/A
マイナス |[1] minus; subtraction; taking away [2] negative (number) [3] deficit; loss |3183
巻く |まく |[1] to wind; to coil; to roll; to wear (e.g. turban, scarf) [2] to envelope; to shroud [3] to outflank; to skirt |1968
撒く |まく |[1] to scatter; to sprinkle; to strew [2] to distribute (flyers, etc.); to give out; to hand out [3] to shake off (a pursuer, companion, etc.); to give the slip; to throw off; to lose; to get rid of |4549
枕 |まくら |[1] pillow; bolster [2] introduction (e.g. to a rakugo story); lead-in |N/A
曲げる |まげる |[1] to bend; to crook; to bow; to curve; to curl [2] to lean; to tilt; to incline; to slant [3] to bend (the truth); to distort; to twist; to pervert |4091
まごまご |confused; flustered; at a loss |N/A
摩擦 |まさつ |[1] friction [2] rubbing; chafing [3] discord; friction; strife; conflict |N/A
混ざる |まざる |to be mixed; to be blended with; to associate with; to mingle with; to join |N/A
混じる |まじる |[1] to be mixed; to be blended with; to be combined [2] to associate with; to mingle with; to interest; to join |N/A
マスク |[1] (face) mask [2] (facial) features; looks [3] mask (e.g. for circuit etching) |N/A
交ぜる |まぜる |to mix; to stir; to blend |1377
混ぜる |まぜる |to mix; to stir; to blend |N/A
跨ぐ |またぐ |[1] to step over; to step across; to stride over; to stride across; to cross [2] to stretch over; to span; to bridge; to saddle; to straddle |N/A
待合室 |まちあいしつ |waiting room |N/A
待ち合わせる |まちあわせる |to rendezvous; to meet at a prearranged place and time; to arrange to meet |N/A
街角 |まちかど |street corner |N/A
真っ暗 |まっくら |[1] pitch-dark; pitch-black; completely dark [2] very bleak (future); utterly hopeless |4361
真っ黒 |まっくろ |pitch black |4537
真っ青 |まっさお |[1] deep blue; bright blue [2] ghastly pale; pallid; white as a sheet |N/A
真っ先 |まっさき |the head; the foremost; beginning; the very front |N/A
真っ白 |まっしろ |[1] pure white [2] blank (e.g. mind, paper) |3819
祭る |まつる |[1] to deify; to enshrine [2] to pray; to worship |4305
纏まる |まとまる |[1] to find resolution; to be settled; to be agreed on; to be completed [2] to be collected; to be assembled; to be brought together [3] to be well arranged; to be in order; to be unified; to take shape; to be coherent |3068
纏める |まとめる |[1] to collect; to put (it all) together; to integrate; to consolidate; to unify [2] to summarize; to aggregate [3] to bring to a conclusion; to finalize; to settle; to put in order |1067
窓口 |まどぐち |[1] counter; window; teller window; ticket window [2] contact person; point of contact |3596
真似る |まねる |to mimic; to imitate |N/A
マフラー |[1] (thick) scarf; muffler [2] muffler (for a vehicle exhaust); silencer |N/A
眩しい |まぶしい |dazzling; radiant |N/A
瞼 |まぶた |eyelid |N/A
間もなく |まもなく |[1] soon; shortly; before long; in a short time; in a little while [2] having no time to ...; with no time to ... |N/A
マラソン |marathon; long-distance race |3793
稀 |まれ |rare; seldom |3782
回り道 |まわりみち |detour; circuitous route; diversion |N/A
満員 |まんいん |full house; no vacancy; sold out; standing room only; full (of people); crowded |N/A
マンション |condominium (usu. mid or high-rise); apartment building; apartment house; block of flats; apartment; flat |1106
満点 |まんてん |[1] perfect score; full marks [2] perfect; entirely satisfactory; excellent |N/A
見送る |みおくる |[1] to see (someone) off; to escort [2] to watch (someone or something) go out of sight; to follow with one's eyes; to gaze after [3] to let (a bus, pitch, etc.) go by; to let pass; to pass up (an opportunity) |4070
見下ろす |みおろす |[1] to overlook; to command a view of; to look down on [2] to despise; to look down on |4695
見かけ |みかけ |[1] outward appearance [2] apparent |N/A
ミシン |sewing machine |N/A
惨め |みじめ |miserable; wretched; unhappy; sad; pitiable |N/A
店屋 |みせや |store; shop |N/A
見出し |みだし |[1] heading; headline; title; caption [2] index [3] headword |N/A
道順 |みちじゅん |route; way; course; directions |N/A
見直す |みなおす |[1] to look at again [2] to re-examine (policy, estimate, plan, etc.); to review [3] to get a better opinion of; to see in a more positive light |2699
見慣れる |みなれる |to get used to seeing; to become accustomed to seeing; to be familiar with |N/A
醜い |みにくい |[1] ugly; unattractive; bad-looking [2] unsightly; unseemly; disgraceful; shameful; dishonorable |N/A
実る |みのる |[1] to bear fruit; to ripen [2] to produce (good) results; to show results; to bear fruit |N/A
身分 |みぶん |[1] (social) standing; status; position; rank [2] identity; birth; origin [3] one's circumstances; one's means |4334
見本 |みほん |[1] sample; specimen; pattern [2] model; example |N/A
