内科 |ないか |[1] internal medicine [2] department of internal medicine |N/A
内線 |ないせん |phone extension; indoor wiring; inner line |N/A
|ナイロン |nylon |N/A
仲直り |なかなおり |reconciliation; making up (with); making peace (with); being friends again; patching up a quarrel |N/A
中身 |なかみ |[1] contents; interior; filling [2] substance; content [3] (sword) blade |1974
中指 |なかゆび |[1] middle finger; long finger; second finger; tall finger [2] middle toe; third toe |N/A
仲良し |なかよし |[1] close friendship; close friend; good friend; bosom buddy; chum; pal [2] intimate relations; sexual intercourse; sex |N/A
慰める |なぐさめる |to comfort; to console; to amuse |4465
殴る |なぐる |to strike; to hit; to beat; to punch |2863
成す |なす |[1] to form; to make; to constitute [2] to build up (e.g. a fortune); to create; to establish [3] to accomplish; to achieve; to win (fame); to gain |859
謎々 |なぞなぞ |riddle; puzzle; enigma |N/A
|なだらか |[1] gently sloping; gentle; gradual; easy [2] smooth (process); gentle (e.g. tone of voice); slow (e.g. growth) |N/A
懐かしい |なつかしい |dear (old); fondly remembered; beloved; missed; nostalgic |2196
撫でる |なでる |[1] to stroke; to caress; to brush gently; to pat; to rub [2] to comb (hair); to smooth down |4018
斜め |ななめ |[1] slanting; tilted; sloping; diagonal; oblique [2] distorted (feeling); slanted (e.g. view of the world); bad (mood); amiss; awry |4287
何しろ |なにしろ |[1] in any case; at any rate; anyhow; anyway; as you know; for you see; particularly [2] because; since; for; after all |2418
何々 |なになに |[1] what [2] so-and-so; such and such; something (or other) [3] what?; wait; hang on |1292
何分 |なにぶん |[1] some; any; (a) little; of some kind; of some sort [2] please [3] anyway; anyhow; at any rate; after all |N/A
生意気 |なまいき |impertinent; saucy; cheeky; impudent; audacious; cocky; pert; brash |N/A
倣う |ならう |to imitate; to follow; to copy; to emulate |N/A
鳴らす |ならす |[1] to ring; to sound; to chime; to beat; to snort (nose); to snap (fingers); to crack (joints) [2] to be popular; to be esteemed; to be reputed [3] to state; to insist; to complain |3584
生る |なる |to bear fruit |N/A
南極 |なんきょく |[1] South Pole [2] the Antarctic; Antarctica [3] Antarctica; South Pole |N/A
何となく |なんとなく |somehow or other; for some reason or another; without knowing why |N/A
何とも |なんとも |[1] really; very; extremely; terribly; awfully [2] (not) anything; (not) at all; (not) a bit |N/A
|ナンバー |[1] number [2] number plate; license plate |4211
南米 |なんべい |[1] South America [2] Nanbei |N/A
南北 |なんぼく |[1] north and south; north to south [2] South Korea and North Korea |N/A
煮える |にえる |to be boiled; to be cooked |N/A
匂う |におう |[1] to be fragrant; to smell (good) [2] to stink; to smell (bad) [3] to glow; to be bright |N/A
逃がす |にがす |[1] to set free; to let go; to release [2] to miss (e.g. a chance); to lose; to let get away; to fail to catch |N/A
憎い |にくい |[1] hateful; detestable; abominable; vexing; provoking [2] amazing; fantastic; admirable; lovely; wonderful |N/A
憎む |にくむ |to hate; to detest |N/A
憎らしい |にくらしい |[1] odious; hateful; detestable; horrible [2] (speaking ironically) darling |N/A
|ニコニコ |with a friendly grin; smilingly |4016
虹 |にじ |rainbow |N/A
日時 |にちじ |[1] date and time (of a meeting, departure, etc.) [2] days and hours |1966
日用品 |にちようひん |daily necessities |N/A
日課 |にっか |daily routine; daily work; daily lesson |N/A
日程 |にってい |schedule; program; programme; agenda |4359
鈍い |にぶい |[1] dull (e.g. a knife); blunt [2] thickheaded; obtuse; stupid [3] dull (sound, color, etc.); dim (light) |N/A
入社 |にゅうしゃ |joining a company; getting a job with a company; starting work at a company |4434
女房 |にょうぼう |[1] wife (esp. one's own wife) [2] court lady; female court attache; woman who served at the imperial palace [3] woman (esp. as a love interest) |3072
睨む |にらむ |[1] to glare at; to scowl at; to glower at [2] to stare intensely at; to examine carefully [3] to estimate; to guess; to suspect; to judge |4981
煮る |にる |to boil; to simmer; to stew; to seethe |2245
俄 |にわか |[1] sudden; abrupt; unexpected; immediate; hasty; improvised; impromptu; offhand [2] impromptu skit [3] bandwagon fan; fair-weather fan |N/A
縫う |ぬう |[1] to sew; to stitch [2] to weave one's way (e.g. through a crowd) |4311
滑る |ぬめる |[1] to be slippery; to be slimy [2] to behave charmingly; to walk merrily |N/A
濡らす |ぬらす |to wet; to moisten; to dampen; to soak; to dip |N/A
螺子 |ネジ |[1] screw [2] key (of a clock, watch, etc.); spring |N/A
捩る |ねじる |[1] to twist; to screw; to wrench [2] to sprain |N/A
|ネックレス |necklace |N/A
熱する |ねっする |[1] to heat; to heat up [2] to get excited; to get worked up; to get fired up |4923
寝巻き |ねまき |nightclothes; nightwear; sleepwear; pyjamas; pajamas; nightgown; nightdress |N/A
狙い |ねらい |aim |4051
狙う |ねらう |[1] to aim at (with a weapon, etc.) [2] to be after (something or someone); to have an eye on; to plan to make one's own [3] to aim for; to set up as a goal |1790
年度 |ねんど |[1] fiscal year (usu. April 1 to March 31 in Japan); financial year [2] academic year; school year [3] product year |N/A
農産物 |のうさんぶつ |agricultural produce |N/A
