タイア |tire; tyre |N/A
体系 |たいけい |system; organization; organisation; architecture |N/A
太鼓 |たいこ |drum |N/A
対策 |たいさく |measure; step; countermeasure; counterplan; countermove; strategy; preparation (e.g. for a test) |1929
大して |たいして |(not) very; (not) so; (not) very much; (not) particularly; (not) especially |3646
対照 |たいしょう |contrast; antithesis; comparison |N/A
体制 |たいせい |order; system; structure; set-up; organization; organisation |3537
体積 |たいせき |capacity; volume |N/A
大層 |たいそう |[1] very; extremely; exceedingly; greatly; terribly [2] extreme; excessive; great many; large number of [3] splendid; impressive; tremendous; immense |N/A
体操 |たいそう |[1] gymnastics; physical exercises [2] artistic gymnastics; gymnastics competition [3] physical education (class); PE |N/A
大木 |たいぼく |large tree |N/A
対立 |たいりつ |confrontation; opposition; antagonism |2865
田植え |たうえ |rice planting |N/A
絶えず |たえず |constantly; always; continually; steadily |N/A
耐える |たえる |[1] to bear; to stand; to endure; to put up with [2] to support; to withstand; to resist; to brave [3] to be fit for; to be equal to |2050
高める |たかめる |to raise; to lift; to boost; to enhance |1781
耕す |たがやす |to till; to plow; to plough; to cultivate |N/A
滝 |たき |[1] waterfall [2] rapids |4332
炊く |たく |[1] to cook (grains, e.g. rice) [2] to boil; to simmer; to stew; to seethe [3] to get angry; to snap |2736
焚く |たく |[1] to burn; to kindle; to light (a fire); to make (a fire) [2] to heat (a bath); to light (a stove); to stoke (a boiler) [3] to use (a camera flash) |N/A
蓄える |たくわえる |[1] to store; to save up; to stock up on; to lay in stock; to set aside [2] to accumulate (e.g. knowledge); to build up (e.g. experience); to develop (e.g. one's skills) [3] to grow (a beard, moustache, etc.); to wear |N/A
竹 |たけ |[1] bamboo (any grass of subfamily Bambusoideae) [2] middle (of a three-tier ranking system) |3523
助かる |たすかる |[1] to be saved; to be rescued; to survive [2] to escape harm; to be spared damage [3] to be helped; to be saved trouble |2472
畳む |たたむ |[1] to fold (clothes, umbrella) [2] to close (a shop, business) [3] to vacate |N/A
但し |ただし |but; however; provided that |724
立ち止まる |たちどまる |to stop (in one's tracks); to come to a stop; to halt; to pause; to stand still |4257
