はあ |[1] yes; indeed; well [2] ha! [3] what?; huh? |2656
灰 |はい |ash; ashes |502
ハイキング |hiking |N/A
配達 |はいたつ |delivery |N/A
俳優 |はいゆう |actor; actress; player; performer |4290
墓 |はか |grave; gravesite; tomb |2378
博士 |はかせ |[1] expert; learned person [2] doctor; PhD; Dr. [3] instructor at the imperial court (ritsuryō period) |N/A
計る |はかる |[1] to measure; to weigh; to survey; to time (sound, gauge, estimate) [2] to conjecture; to infer; to surmise |N/A
測る |はかる |[1] to measure; to weigh; to survey; to time (sound, gauge, estimate) [2] to conjecture; to infer; to surmise |2845
吐く |はく |[1] to vomit; to throw up; to spit up [2] to emit; to send forth; to breathe out [3] to give (an opinion); to make (a comment); to express; to tell |2290
履く |はく |[1] to put on (lower-body clothing, e.g. pants, skirt, footwear); to wear [2] to affix (a sword to one's hip) [3] to affix (a bowstring to a bow) |1828
拍手 |はくしゅ |[1] clapping hands; applause [2] clapping one's hands in prayer (at a shrine) |N/A
博物館 |はくぶつかん |[1] museum [2] Hakubutsukan |N/A
激しい |はげしい |[1] violent; furious; tempestuous [2] extreme; intense; fierce; strong [3] fervent; vehement |1015
鋏 |はさみ |[1] scissors; shears; clippers [2] hole punch |N/A
破産 |はさん |bankruptcy; insolvency |N/A
端 |はし |[1] end (e.g. of street); tip; point; edge; margin [2] beginning; start; first [3] odds and ends; scrap; odd bit; least |2255
始まり |はじまり |origin; beginning; start |3069
外す |はずす |[1] to remove; to take off; to detach; to unfasten; to undo [2] to drop (e.g. from a team); to remove (from a position); to exclude; to expel [3] to leave (e.g. one's seat); to go away from; to step out; to slip away |1625
旗 |はた |[1] flag [2] pataka (banner) [3] banner (administrative division of Inner Mongolia) |N/A
畑 |はたけ |[1] field (for growing wheat, fruit, vegetables, etc.); cultivated land; vegetable plot; kitchen garden; plantation [2] field (of specialization); sphere; area; line [3] womb; birth; birthplace |1827
働き |はたらき |[1] work; labor; labour [2] achievement; performance; ability; talent [3] salary; income; earnings |2185
肌 |はだ |[1] skin [2] body (in the context of intimate bodily contact) [3] surface; grain (e.g. of wood); texture |1706
裸 |はだか |[1] nakedness; nudity [2] bareness; nakedness; baldness; being uncovered [3] being penniless |3984
発見 |はっけん |discovery; detection; finding |843
発行 |はっこう |[1] publication (of a newspaper, magazine, book, etc.); issue [2] issue (of banknotes, bonds, passport, etc.) [3] raising (an event) |2280
発車 |はっしゃ |departure (of a train, car, etc.); starting; leaving |N/A
発達 |はったつ |development; growth |1631
発展 |はってん |[1] development; growth; expansion; extension; flourishing [2] development (of a situation, story, etc.); advancement; progression; unfolding [3] playing around (sexually; esp. of a male homosexual); having an active sex life |914
発表 |はっぴょう |announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling |992
発明 |はつめい |[1] invention [2] intelligent; clever; smart |3704
話し合う |はなしあう |to discuss; to talk together |2285
放す |はなす |[1] to release; to let go; to free; to set free; to let loose; to turn loose [2] to add (pieces of eggplant, potato, etc.) to water, broth, etc. |N/A
離す |はなす |to separate; to part; to divide; to keep apart |3188
離れる |はなれる |[1] to be separated; to be apart; to be distant [2] to leave; to go away [3] to leave (a job, etc.); to quit; to give up |579
羽 |はね |[1] feather; plume; down [2] wing [3] blade (of a fan, propeller, etc.) |N/A
母親 |ははおや |mother |550
幅 |はば |[1] width; breadth [2] freedom (e.g. of thought); latitude [3] gap; difference (e.g. in price); range (e.g. of voice) |2006
省く |はぶく |[1] to omit; to leave out; to exclude; to eliminate [2] to curtail; to save; to cut down; to economize; to economise |N/A
腹 |はら |[10] counter for hard roe [11] counter for containers with bulging middles (pots, vases, etc.) [1] abdomen; belly; stomach |1427
原 |はら |field; plain; prairie; tundra; moor; wilderness |N/A
針 |はり |[1] needle; pin [2] hook [3] stinger; thorn |2517
範囲 |はんい |extent; scope; sphere; range; span |1551
反抗 |はんこう |opposition; resistance; insubordination; defiance; hostility; rebellion |N/A
ハンサム |handsome |N/A
犯罪 |はんざい |crime; offence; offense |1739
判断 |はんだん |[1] judgment; judgement; decision; conclusion; adjudication [2] divination [3] judgement |801
犯人 |はんにん |offender; criminal; culprit |1737
販売 |はんばい |sale; sales; selling; marketing |1652
場 |ば |[1] place; spot; space [2] field; discipline; sphere; realm [3] occasion; situation |615
バイオリン |violin |N/A
馬鹿 |ばか |[1] idiot; moron; fool [2] stupid; foolish; dull; absurd; ridiculous [3] trivial; insignificant; disappointing |1162
麦酒 |ばくしゅ |beer |N/A
莫大 |ばくだい |[1] vast; huge; immense; enormous; colossal [2] malva nut (Scaphium affine) |N/A
爆発 |ばくはつ |[1] explosion; detonation; blast; blowing up; eruption [2] outburst (of emotion); explosion (e.g. of anger); eruption (e.g. of discontent) |3654
バッグ |bag |3737
罰する |ばっする |to punish; to penalize; to penalise |N/A
ばったり |[1] with a clash; with a thud; with a bang; with a flop; plump [2] unexpectedly (meeting someone) [3] suddenly (ending); abruptly (coming to a halt) |N/A
場面 |ばめん |[1] scene; setting; place (where something happens); scenario; case [2] scene (in a movie, play); shot [3] state of the market |1654
バン |[1] bun (hairstyle) [2] Van (Turkey); Bang; Wend |N/A
番 |ばん |[1] number (in a series) [2] (one's) turn [3] watch; guard; lookout |N/A
パイプ |[1] pipe; tube [2] (tobacco) pipe [3] cigarette holder |N/A
パイロット |pilot |N/A
パス |[1] passing (an examination, inspection, etc.) [2] pass (for admission, transport, etc.); ticket [3] pass (of a ball) |3951
パスポート |passport |4683
パーセント |percent; per cent; percentage |N/A
灯 |ひ |light; lamp |N/A
比較 |ひかく |comparison |1358
被害 |ひがい |(suffering) damage; injury; harm |1439
轢く |ひく |to run over (with a vehicle); to knock down |N/A
悲劇 |ひげき |[1] tragedy; tragic drama; tragic play [2] tragedy; calamity; disaster |4299
飛行 |ひこう |flight; flying; aviation |N/A
膝 |ひざ |[1] knee [2] lap; knee and thigh (while sitting) |1829
非常 |ひじょう |[1] emergency [2] extreme; great; extraordinary; remarkable; unusual; terrible; severe |129
額 |ひたい |forehead; brow |N/A
必死 |ひっし |[1] frantic; frenetic; desperate [2] inevitable death [3] brinkmate (inevitable checkmate) |1958
引っ張る |ひっぱる |[10] to quote; to cite; to reference [11] to pull the ball [12] to wear; to put on |2303
日付 |ひづけ |date; dating |4448
否定 |ひてい |[1] denial; negation; repudiation; disavowal [2] negation [3] NOT operation |1978
一言 |ひとこと |single word; a few words; brief comment |1233
人ごみ |ひとごみ |crowd of people |N/A
等しい |ひとしい |[1] equal; identical; the same [2] no different (from); just like; equivalent |3896
一人一人 |ひとりひとり |each (person); individually; one by one; one at a time; in turn |2108
批判 |ひはん |criticism; judgement; judgment; comment |1740
批評 |ひひょう |criticism; critique; review; commentary |N/A
秘密 |ひみつ |[1] secret; secrecy; confidentiality; privacy [2] mystery [3] secret (e.g. to success) |2395
紐 |ひも |[1] string; cord [2] leash [3] man who is financially dependent on a woman; gigolo; pimp |3195
表 |ひょう |[1] table; chart; list [2] memorial to an emperor |928
評価 |ひょうか |[1] valuation; appraisal; evaluation; assessment; estimation; rating; judging [2] appreciation; recognition; acknowledgement; rating highly; praising |748
表現 |ひょうげん |[1] expression; representation; description [2] representation (of a group) |766
表情 |ひょうじょう |[1] facial expression; countenance [2] look; appearance; expression (vocal, etc.) |1124
評判 |ひょうばん |[1] reputation; (public) estimation; popularity [2] rumour; rumor; talk (e.g. of the town) [3] fame; notoriety |2990
表面 |ひょうめん |[1] surface; face [2] outside; exterior [3] appearances; superficiality |2211
