間 |ま |[1] time; pause [2] space [3] room |774
|まあ |[1] just (e.g. "just wait here"); come now; now, now [2] tolerably; passably; moderately; reasonably; fairly; rather; somewhat [3] well...; I think...; it would seem...; you might say...; Hmmm, I guess so... |23
|マイク |mike; mic; microphone |4876
迷子 |まいご |lost child; lost person; stray child; missing child |N/A
任せる |まかせる |[1] to leave (a matter, decision, etc. to someone); to entrust (to someone); to entrust (someone) with [2] to leave (to chance, one's imagination, etc.); to let (take its own course); to let (happen); to give (oneself to something) [3] to use (money, strength, spare time, etc.) to the full; to use freely; to use without reserve |2066
幕 |まく |[1] curtain [2] act (in a play) [3] falling of the curtain; end (of a scene) |N/A
負け |まけ |[1] defeat; loss; losing (a game) [2] failing to live up to (one's name, looks, etc.) [3] discount; loss (on a sale) |N/A
誠に |まことに |indeed; really; absolutely; truly; actually; very; quite |N/A
孫 |まご |grandchild |1835
真逆 |まさか |[1] by no means; never!; well, I never!; you don't say!; certainly (not) [2] something unexpected; emergency [3] currently; for the time being; presently; for now |1960
正に |まさに |[1] exactly; just; precisely; really; truly; surely; certainly; without doubt [2] right (when); just (as) [3] just (about to); on the point of; on the verge of; on the brink of |985
真面目 |まじめ |[1] serious; earnest; sober; grave [2] honest; sincere |2205
増す |ます |to increase; to grow |2287
|マスター |[1] to master (a skill) [2] proprietor; manager; owner; barkeeper [3] leader; chief; head |4518
益々 |ますます |increasingly; more and more; decreasingly (when declining); less and less |1390
先ず |まず |[1] first (of all); firstly; to begin with; before anything else [2] probably; most likely; almost certainly; virtually [3] more or less (satisfactory); on the whole; reasonably |150
貧しい |まずしい |[1] poor; needy [2] lacking (quantity and quality-wise); poor; scanty; skimpy; slight; inadequate |3516
間違い |まちがい |[1] mistake; error; blunder [2] accident; mishap; trouble [3] improper conduct (e.g. between man and woman); indiscretion |1717
真っ赤 |まっか |[1] bright red; deep red; flushed (of face) [2] downright (e.g. lie); complete; utter |3177
全く |まったく |[1] really; truly; entirely; completely; wholly; perfectly [2] indeed [3] good grief |289
松 |まつ |[1] pine tree (Pinus spp.) [2] highest (of a three-tier ranking system) |3672
祭り |まつり |[1] festival; feast; matsuri [2] harassment by an Internet pitchfork mob; online shaming; flaming [3] galore (as in "goals galore"); frenzy; mania |1469
学ぶ |まなぶ |to learn; to study; to take lessons in |851
真似 |まね |[1] imitating; copying; mimicry [2] behavior; behaviour; action; conduct |2624
招く |まねく |[1] to invite; to ask [2] to beckon; to wave someone in; to gesture to [3] to call in; to send for; to summon |2364
|ママ |[1] mom; mommy; mum; mummy; mother; mama; mamma [2] female proprietress (of a bar, etc.) |2081
豆 |まめ |[1] legume (esp. edible legumes or their seeds, e.g. beans, peas, pulses); bean; pea [2] soya bean (Glycine max); soybean; soy [3] female genitalia (esp. the clitoris) |4041
守る |まもる |[1] to protect; to guard; to defend [2] to keep (i.e. a promise); to abide (by the rules); to observe; to obey; to follow |599
丸 |まる |[1] circle [2] entirety; whole; full; complete [3] money; dough; moola |3622
丸で |まるで |[1] quite; entirely; completely; at all [2] as if; as though; just like |997
回す |まわす |[10] to invest (money); to lend [11] to dial (a telephone number) [12] to gang-rape |1464
回り |まわり |[1] rotation [2] making the rounds [3] spreading |N/A
万一 |まんいち |[1] (unlikely event of) emergency; the worst(-case scenario); 10000 to 1 [2] (if) by some chance; by some possibility; in the unlikely event that |N/A
満足 |まんぞく |[1] satisfaction; contentment; gratification [2] sufficient; satisfactory; enough; adequate; proper; decent [3] satisfying (an equation) |2226
|マーケット |[1] market [2] Marquette; Marquat |N/A
身 |み |[1] one's body; one's person [2] oneself; one's appearance [3] one's place (in society, etc.); one's position |504
実 |み |[1] fruit; nut [2] seed [3] (in broth) pieces of meat, vegetable, etc. |2376
見送り |みおくり |[1] seeing (someone) off; send-off [2] deferment; postponement; shelving [3] letting a pitch go by |N/A
