差 |さ |[1] difference; variation [2] difference |1271
際 |さい |occasion; time; circumstances; (in) case (of); when |692
最高 |さいこう |[1] best; supreme; wonderful; finest [2] highest; maximum; most; uppermost; supreme |1367
最終 |さいしゅう |[1] last; final; closing [2] last train (bus, flight, etc.; of the day) |N/A
最中 |さいちゅう |(in) the middle of; (in) the midst of; (in) the course of; (at) the height of |3420
最低 |さいてい |[1] least; lowest; minimum [2] worst [3] awful; horrible; nasty; disgusting |2808
才能 |さいのう |talent; ability |3073
裁判 |さいばん |trial; judgement; judgment |2655
幸い |さいわい |[1] happiness; blessedness; luck; fortune; felicity [2] luckily; fortunately |1832
|サイン |[1] autograph; signature [2] sign; signal; indication |3280
境 |さかい |[1] border; boundary [2] turning point; watershed [3] area; region; spot; space; environment |4441
逆らう |さからう |to go against; to oppose; to disobey; to defy |N/A
盛り |さかり |[1] height (e.g. of summer); peak (e.g. of cherry blossom season); (in) season; full bloom; full swing (of a party, etc.) [2] prime (of one's life); (one's) best days; bloom [3] (being in) heat; rut |N/A
作業 |さぎょう |work; operation; task |967
作品 |さくひん |work (e.g. book, film, painting, composition); piece; production; opus |541
作物 |さくもつ |crop; crops; (agricultural) produce; farm products |N/A
桜 |さくら |[1] cherry tree; cherry blossom [2] fake buyer; paid audience; shill; seat filler [3] hired applauder |1442
酒 |さけ |alcohol; sake |596
叫ぶ |さけぶ |[1] to shout; to cry; to scream; to shriek; to yell; to exclaim [2] to clamor (for or against); to clamour (for or against) |1604
避ける |さける |[1] to avoid (physical contact with) [2] to avoid (situation); to evade (question, subject); to shirk (one's responsibilities) [3] to ward off; to avert |1221
支える |ささえる |[1] to support; to prop; to sustain; to underlay; to hold up; to defend [2] to hold at bay; to stem; to check |1287
指す |さす |[1] to point [2] to nominate; to select someone; to specify some person [3] to identify; to indicate; to point out |N/A
誘う |さそう |[1] to invite; to ask (someone to do); to call (for); to take (someone) along [2] to tempt; to lure; to entice; to seduce [3] to induce (tears, laughter, sleepiness, etc.); to arouse (e.g. sympathy); to provoke |1581
作家 |さっか |author; writer; novelist; artist |2161
作曲 |さっきょく |composition (of music); setting; writing music |4945
|さっぱり |[1] feeling refreshed; feeling relieved [2] neat; tidy; clean [3] frank; open-hearted; plain; simple; light |3205
札 |さつ |banknote; bill; note; paper money |N/A
偖 |さて |well; now; then |1062
砂漠 |さばく |desert |3972
差別 |さべつ |[1] distinction; differentiation; discrimination [2] discrimination (against people) |2936
作法 |さほう |[1] manners; etiquette; propriety [2] manner of production (esp. of prose, poetry, etc.); way of making |N/A
様々 |さまざま |various; varied; diverse; all sorts of |554
覚ます |さます |[1] to awaken; to arouse from sleep [2] to bring to one's senses; to disabuse (someone of) [3] to sober up |4817
覚める |さめる |[1] to wake; to wake up [2] to become sober; to sober up; to regain consciousness (e.g. after anaesthesia) [3] to come to one's senses; to be disillusioned |3615
左右 |さゆう |[1] left and right; right and left [2] (asserting) control; influence; domination [3] one's attendants; people accompanying one |1888
皿 |さら |[1] plate; dish; platter; disc [2] serving; helping; course [3] kanji radical 108 (at the bottom) |2207
更に |さらに |furthermore; again; after all; more and more; moreover; even more |254
去る |さる |[1] to leave; to go away [2] to pass; to elapse [3] to be distant |2041
猿 |さる |[1] monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate [2] sly person [3] idiot; hick |3902
騒ぎ |さわぎ |uproar; disturbance |N/A
参加 |さんか |participation; joining; entry |543
参考 |さんこう |reference; consultation |1543
賛成 |さんせい |approval; agreement; support; favour; favor |3044
酸素 |さんそ |oxygen (O) |3251
|サービス |[1] service; help; assistance; care; concern [2] discount; discounted item [3] free service; freebie; gift |1310
財産 |ざいさん |property; fortune; assets |2232
材料 |ざいりょう |[1] materials; ingredients [2] material (for a novel, experiment, etc.); subject matter [3] grounds (for a decision, judgement, etc.); basis; evidence; data |890
座席 |ざせき |seat |N/A
|ざっと |[1] roughly; approximately; round about; more or less [2] cursorily; briefly; quickly; lightly; roughly |N/A
氏 |し |[1] Mr; Mrs; Ms; Miss [2] clan [3] he; him |N/A
詩 |し |[1] poem; poetry; verse [2] Chinese poem |2034
幸せ |しあわせ |happiness; good fortune; luck; blessing |897
然も |しかも |[1] moreover; furthermore [2] nevertheless; and yet |456
叱る |しかる |to scold; to chide; to rebuke; to reprimand |2620
式 |しき |[1] way; style; fashion; method; system; form; type [2] ceremony; rite; ritual; celebration [3] wedding (ceremony) |2373
支給 |しきゅう |provision; supply; payment; allowance; grant |2975
頻りに |しきりに |[1] frequently; repeatedly; often; incessantly; constantly [2] eagerly; keenly; strongly; intently [3] hard; terribly; extremely; severely |N/A
刺激 |しげき |[1] stimulus; stimulation; irritation (esp. of the body, e.g. skin, eyes) [2] impetus; impulse; stimulus; spur; incentive; encouragement; stimulation; motivation; provocation [3] excitement; thrill |1761
資源 |しげん |resources |3977
支出 |ししゅつ |expenditure; disbursement; expenses |4771
詩人 |しじん |poet |4989
沈む |しずむ |[1] to sink; to go under; to submerge [2] to go down (e.g. sun); to set; to descend [3] to feel depressed; to become subdued; to become somber |2943
自然 |しぜん |[1] nature [2] natural; spontaneous; automatic [3] naturally; spontaneously; automatically |412
思想 |しそう |thought; idea; ideology |2442
舌 |した |[1] tongue [2] tongue-like object; clapper (of a bell); talon (of a lock); reed (of a musical instrument) |2828
従う |したがう |[1] to obey (an order, law, etc.); to abide by (a rule, custom, etc.); to follow; to observe; to conform to; to yield to [2] to follow (a person); to accompany; to go with [3] to go alongside (e.g. a river); to follow (e.g. a sign) |982
従って |したがって |therefore; consequently; accordingly |857
支度 |したく |preparation; arrangements |4930
親しい |したしい |[1] close (e.g. friend); familiar; friendly; intimate [2] familiar (e.g. story); well-known (to one) [3] close (relatives); closely related |2330
次第 |しだい |[1] depending on [2] as soon as; immediately after; upon [3] as (e.g. "as one is told", "as one wishes"); whatever (e.g. "whatever is at hand") |1127
質 |しつ |[1] quality; value [2] nature; inherent quality; character [3] logical quality |2422
失業 |しつぎょう |[1] unemployment [2] losing one's job; becoming unemployed |N/A
失望 |しつぼう |disappointment; despair |N/A
支店 |してん |branch office; branch store |N/A
指導 |しどう |[1] guidance; leadership; instruction; direction; coaching [2] shido (minor penalty in judo) |1325
品 |しな |[1] article; item; thing; goods; stock [2] quality [3] flirtatiousness; coquetry |4222
支配 |しはい |[1] rule; domination; control [2] direction; management; guidance [3] control (of one's destiny, public opinion, etc.); governing; influence; sway |2328
支払い |しはらい |payment |3127
支払う |しはらう |to pay |1906
芝居 |しばい |play; drama |2056
屡々 |しばしば |often; again and again; frequently; repeatedly |2318
芝生 |しばふ |lawn; grass |N/A
資本 |しほん |funds; capital |3967
死亡 |しぼう |death; dying; mortality |2860
姉妹 |しまい |sisters |N/A
仕舞う |しまう |[1] to finish; to stop; to end; to put an end to; to bring to a close [2] to close (a business, etc.); to close down; to shut down; to shut up [3] to put away; to put back; to keep; to store |1649
仕舞った |しまった |darn it!; darn!; oops!; oh dear!; oh no! |N/A
示す |しめす |[1] to (take out and) show; to demonstrate; to tell; to exemplify; to make apparent [2] to point out (finger, clock hand, needle, etc.) [3] to indicate; to show; to represent; to signify; to display |449
占める |しめる |[1] to occupy; to hold [2] to account for; to make up; to take up |984
下 |しも |[1] lower reaches (of a river) [2] bottom; lower part [3] lower half (of the body, esp. the privates); feces (faeces); urine; menses |N/A
霜 |しも |[1] frost [2] white hair; grey hair; gray hair |N/A
借金 |しゃっきん |[1] debt; loan; liabilities; borrowing money [2] number of games under the .500 mark |2755
喋る |しゃべる |to talk; to chat; to chatter |823
週 |しゅう |week |1588
