田 |た |rice field |N/A
他 |た |other (esp. people and abstract matters) |N/A
体育 |たいいく |physical education; PE; gym (class) |4005
体温 |たいおん |body temperature |N/A
大会 |たいかい |[1] mass meeting; convention; rally; conference; assembly; gathering [2] tournament; competition; contest; meet [3] grand event |2145
退屈 |たいくつ |[1] tedious; boring; dull; uninteresting; tiresome; monotonous [2] to feel bored; to get bored (with); to get tired (of) |N/A
滞在 |たいざい |stay; sojourn |2749
大使 |たいし |ambassador |N/A
大した |たいした |considerable; great; important; significant; a big deal |1900
対象 |たいしょう |target; object (of worship, study, etc.); subject (of taxation, etc.); coverage |618
対する |たいする |[1] to face (each other); to be facing [2] to be directed toward (the future, etc.); to be in response to; to be related to [3] to receive (a client, etc.) |1771
大戦 |たいせん |[1] great war; great battle [2] world war |N/A
態度 |たいど |[1] attitude; manner; behaviour; demeanour; bearing [2] attitude (towards an issue, etc.); position; stance; stand |1266
大半 |たいはん |[1] majority; more than half; most (of) [2] mostly; largely; mainly; predominately; nearly |2954
|タイプライター |typewriter |N/A
逮捕 |たいほ |arrest; apprehension; capture |2547
太陽 |たいよう |Sun |1514
平ら |たいら |[1] flat; level; even; smooth [2] calm; tranquil; placid; composed; stable [3] relaxed (sitting posture); comfortable |4429
大陸 |たいりく |[1] continent [2] continental Asia (esp. mainland China) [3] continental Europe |N/A
倒す |たおす |[1] to throw down; to bring down; to blow down; to fell; to knock down; to set (something) down on its side; to turn (something) on its side; to recline (e.g. a seat) [2] to kill; to defeat; to beat [3] to overthrow; to trip up; to ruin |3998
|タオル |towel |3801
宝 |たから |treasure |N/A
互い |たがい |each other; one another |647
宅 |たく |[1] house; home [2] one's house; one's home [3] one's husband |N/A
確かめる |たしかめる |to make sure; to check; to ascertain; to confirm; to verify |2219
多少 |たしょう |[1] a little; some; somewhat; slightly; to some degree; to some extent [2] amount; quantity; number |1098
助ける |たすける |[1] to save; to rescue; to spare [2] to help; to assist [3] to support (financially); to contribute (to); to provide aid |1282
戦い |たたかい |[1] battle; war; fight; conflict [2] fight (against time, poverty, etc.); struggle (for freedom, survival, etc.); war (e.g. on drugs); battle (e.g. against nature) [3] contest; competition; match; game |1633
戦う |たたかう |[1] to make war (on); to wage war (against); to go to war (with); to fight (with); to do battle (against) [2] to compete (against) [3] to struggle (against adversities, etc.); to fight; to contend; to resist |1495
叩く |たたく |[1] to strike; to hit; to beat; to knock; to pound; to bang; to slap; to spank; to tap; to pat; to clap (one's hands); to play (the drums) [2] to attack; to bash; to criticize; to censure; to flame (on the Internet) [3] to sound out (someone's views) |1204
