ああ |like that; so |1125
間 |あいだ |[1] space (between); gap; interval; distance; stretch [2] period of time (during, while); duration; interval [3] between (two parties or things) |209
合う |あう |[1] to come together; to merge; to unite; to meet [2] to fit; to match; to suit; to agree with; to be correct [3] to be profitable; to be equitable |697
赤ちゃん |あかちゃん |baby; infant |1371
赤ん坊 |あかんぼう |baby; infant |3947
上がる |あがる |[10] to be adequate (to cover expenses, etc.) [11] to be finished; to be done; to be over [12] to stop (of rain); to lift |557
アクセサリー |[1] accessory (fashion); jewelry [2] accessory (audio, car, camera, etc.) |N/A
浅い |あさい |[1] shallow; superficial [2] slight (wound); light (sleep); pale (colour); inadequate (knowledge) [3] short (time); early; young |3974
味 |あじ |[1] flavor; flavour; taste [2] charm; appeal; uniqueness; attractiveness [3] experience; taste (e.g. of victory) |668
亜細亜 |アジア |Asia |1892
遊び |あそび |[1] play; playing; game [2] pleasure; amusement; pastime; recreation; diversion [3] play (in a mechanism, e.g. a steering wheel) |1742
あっ |[1] ah; oh [2] hey! |1916
集まる |あつまる |to gather; to collect; to assemble |672
集める |あつめる |to collect; to assemble; to gather |860
アナウンサー |[1] announcer; presenter; broadcaster; reporter [2] in-house television talent who does on-location fluff pieces for variety shows |N/A
阿弗利加 |アフリカ |Africa |3341
亜米利加 |アメリカ |[1] (United States of) America; United States; US; USA [2] America (land mass); the Americas [3] America |312
謝る |あやまる |[1] to apologize; to apologise [2] to refuse; to decline [3] to be unable to bear; to be defeated (by); to be at a loss |2696
アルコール |[1] alcohol [2] alcoholic drink; alcohol [3] (alcohol-based) hand sanitizer |3917
アルバイト |[1] part-time job; side job [2] part-time worker |1593
安心 |あんしん |peace of mind; relief; (sense of) security; safety; assurance; confidence |1091
安全 |あんぜん |safety; security |1196
あんな |that sort of; that kind of; like that; such; so |1220
以下 |いか |[1] not exceeding ...; not more than ...; ... and under; ... and below; ... or fewer [2] below (a standard, level, etc.); under; beneath; less than [3] the following; the below-mentioned; the rest; followed by ... |987
以外 |いがい |[1] excluding; except (for); apart from; other than; besides; in addition to [2] outside (a boundary, scope, etc.) |1782
医学 |いがく |medical science; medicine |N/A
生きる |いきる |[1] to live; to exist [2] to make a living; to subsist [3] to be in effect; to be in use; to function |296
意見 |いけん |[1] opinion; view; comment [2] scolding; reprimand; rebuke; admonition; cautioning; warning |624
