もう直ぐ |もうすぐ |soon; shortly; before long; nearly; almost |N/A
参る |まいる |[1] to go; to come; to call [2] to be defeated; to collapse; to die [3] to be annoyed; to be nonplussed |1073
又は |または |or; either ... or ... |346
召し上がる |めしあがる |to eat; to drink |N/A
向かう |むかう |[1] to face [2] to go towards; to head towards |465
周り |まわり |[1] circumference; girth [2] surroundings; neighbourhood; neighborhood; vicinity [3] people surrounding oneself; surrounding circumstances |389
味噌 |みそ |[1] miso; fermented condiment usu. made from soybeans [2] innards (from crabs, shrimps, etc.) resembling miso [3] key point; main point; good part (of something) |4954
回る |まわる |[10] to earn interest [11] to ... around; to ... about [1] to turn; to rotate; to revolve; to spin |601
娘 |むすめ |[1] daughter [2] girl (i.e. a young, unmarried woman) |512
息子 |むすこ |[1] son [2] penis |749
戻る |もどる |[1] to turn back (e.g. half-way) [2] to return; to go back [3] to recover (e.g. something lost); to be returned |384
昔 |むかし |[1] the old days; the past; former times; a long time ago [2] the past ten years; the past decade |264
木綿 |もめん |[1] cotton (material) [2] red silk-cotton tree (Bombax ceiba) |N/A
森 |もり |[1] forest [2] shrine grove |1151
港 |みなと |harbour; harbor; port |3272
湖 |みずうみ |lake |2871
漫画 |まんが |cartoon; comic; comic strip; manga |1610
無理 |むり |[1] unreasonable; unnatural; unjustifiable [2] impossible [3] forcible; forced; compulsory |666
珍しい |めずらしい |[1] rare; uncommon; unusual; curious [2] new; novel [3] fine; nice; splendid; precious |1231
申し上げる |もうしあげる |[1] to say; to tell; to state; to express; to offer; to extend (greetings, congratulations, etc.) [2] to do |628
申す |もうす |[1] to say; to be called [2] to do |949
真ん中 |まんなか |middle; centre; center; midpoint; heart |1662
若し |もし |if; in case; supposing |305
虫 |むし |[1] insect; bug; cricket; moth [2] worm; roundworm [3] thing inside one's body believed to influence one's thoughts and feelings; (one's) unconscious |1846
見える |みえる |[1] to be seen; to be visible; to be in sight [2] to look; to seem; to appear [3] to come |234
見つかる |みつかる |to be found; to be discovered |1172
見つける |みつける |[1] to find; to discover; to come across; to spot; to catch (someone doing) [2] to be used to seeing; to be familiar with |664
負ける |まける |[1] to lose; to be defeated [2] to succumb; to give in; to surrender; to yield [3] to be inferior to |953
迎える |むかえる |[1] to go out to meet; to receive; to welcome; to greet; to salute; to hail [2] to call for; to summon; to invite [3] to accept (e.g. as a member of a group or family); to take (e.g. a wife) |764
間に合う |まにあう |[1] to be in time (for) [2] to serve (suit, meet) the purpose; to be good enough; to be enough; to manage; to make do |2648
間違える |まちがえる |[1] to make a mistake (in); to commit an error; to get wrong; to do incorrectly [2] to mistake (one thing for another); to confuse |2292 
