退院 |たいいん |leaving hospital; discharge from hospital |3215
大抵 |たいてい |[1] mostly; ordinarily; usually; generally [2] probably [3] most; almost all |1789
台風 |たいふう |typhoon; hurricane |2593
|タイプ |[1] type; kind; sort; style [2] type (of person); (ideal) type; one's type [3] typewriter |1027
倒れる |たおれる |[1] to fall (over, down); to collapse; to take a fall; to topple [2] to be destroyed (in a collapse); to collapse; to cave in; to crumble; to give away [3] to be confined to bed (with an illness); to come down with; to break down (e.g. from overwork) |1707
確か |たしか |[1] sure; certain; positive; definite [2] reliable; trustworthy; safe; sound; firm; accurate; correct; exact [3] If I'm not mistaken; If I remember correctly; If I remember rightly |366
足す |たす |[1] to add (numbers) [2] to add (something); to top up (with something) [3] to take care of (e.g. one's business) |3836
尋ねる |たずねる |[1] to ask; to enquire; to inquire [2] to search; to look for; to look into; to investigate |1232
訪ねる |たずねる |to visit; to call on; to pay a visit to |2030
畳 |たたみ |tatami mat; Japanese straw floor coverings |3725
正しい |ただしい |[1] right; correct [2] proper; righteous; just; honest; truthful; lawful |1001
立てる |たてる |[10] to divide by [11] to do ... vigorously [1] to stand up; to put up; to set up; to erect; to raise |529
建てる |たてる |to build; to construct |N/A
例えば |たとえば |for example; for instance; e.g. |168
棚 |たな |[1] shelf; ledge; rack [2] trellis |4063
楽しみ |たのしみ |[1] enjoyment; pleasure; amusement; delight; joy; fun; diversion; hobby [2] anticipation; looking forward to; something to look forward to |716
楽しむ |たのしむ |[1] to enjoy; to take pleasure in; to have a good time; to have fun; to amuse oneself [2] to look forward to |435
偶に |たまに |occasionally; once in a while; now and then |961
為 |ため |[1] good; advantage; benefit; welfare [2] sake; purpose; objective; aim [3] consequence; result; effect |100
足りる |たりる |[1] to be sufficient; to be enough [2] to be worth doing; to be worthy of; to deserve [3] to do (the job); to serve; to answer |1457
大学生 |だいがくせい |university student; college student |2773
大事 |だいじ |[1] important; serious; crucial [2] valuable; precious [3] serious matter; major incident; matter of grave concern; crisis |393
大体 |だいたい |[1] generally; on the whole; mostly; almost; nearly; approximately; roughly; about [2] general; rough [3] outline; main points; gist; substance; essence |259
大分 |だいぶ |[1] considerably; greatly; a lot [2] Daibu |1289
|だから |[1] so; therefore; accordingly; consequently; on those grounds; that is why; for that reason [2] like I said; I told you already |185
男性 |だんせい |[1] man; male [2] masculine gender |675
暖房 |だんぼう |(indoor) heating |N/A
血 |ち |[1] blood [2] blood; ancestry; lineage; stock [3] (the) blood; feelings; passions |1121
|チェック |[1] check (pattern); plaid [2] check; inspection; examination; looking over; scrutinizing [3] check (mark); tick; marking with a check; checking off; ticking |1177
力 |ちから |[1] force; strength; might; vigour; vigor; energy [2] capability; ability; proficiency; capacity; faculty [3] efficacy; effect |395
些とも |ちっとも |(not) at all; (not) a bit; (not) in the least; (not) in the slightest |N/A
|ちゃん |suffix for familiar person |N/A
注意 |ちゅうい |[1] attention; notice; heed [2] care; caution; precaution; looking out (for); watching out (for) [3] advice; warning; caution; reminder |768
中学校 |ちゅうがっこう |junior high school; middle school; lower secondary school |1533
注射 |ちゅうしゃ |injection; jab; shot |3959
駐車場 |ちゅうしゃじょう |parking lot; car park; carpark; parking garage |2371
地理 |ちり |geography |N/A
捕まえる |つかまえる |[1] to catch; to capture; to arrest; to seize; to restrain [2] to grab; to clutch; to grasp; to seize; to hold on to [3] to catch hold of (someone); to stop (e.g. a stranger in the street); to hail (a taxi, waiter, etc.); to hold (someone) back; to detain |2947
付く |つく |[10] to be settled; to be resolved; to be decided [11] to be given (of a name, price, etc.) [12] to be sensed; to be perceived |176
漬ける |つける |[1] to soak (in); to steep; to dip; to dunk [2] to pickle; to preserve (in salt, vinegar, etc.) |2785
都合 |つごう |[1] circumstances; condition; convenience [2] arranging; managing [3] lending money; raising money |1813
伝える |つたえる |to convey; to report; to transmit; to communicate; to tell; to impart; to propagate; to teach; to bequeath |670
包む |つつむ |[1] to wrap up; to pack; to bundle; to do up [2] to cover; to envelop; to shroud; to engulf [3] to conceal (a feeling); to hide |1837
続く |つづく |[1] to continue; to last; to go on [2] to continue (without a break); to be unbroken [3] to occur again and again |361
続ける |つづける |to continue; to keep up; to keep on |484
妻 |つま |[1] wife [2] garnish (esp. one served with sashimi); trimmings [3] accompaniment; side (remark) |789
端 |つま |[1] edge; tip; end [2] gable wall [3] gable |N/A
積もり |つもり |[1] intention; plan; purpose; expectation [2] belief; assumption; thought; conviction [3] estimate; estimation; calculation |727
釣る |つる |[1] to fish; to angle; to catch [2] to lure in; to tempt; to attract; to entice; to allure |1498
丁寧 |ていねい |[1] polite; courteous; civil [2] careful; close; thorough; conscientious |2443
|テキスト |[1] text [2] textbook |4319
適当 |てきとう |[1] suitable; proper; appropriate; adequate; fit; fair [2] perfunctory; half-minded; sloppy; lazy; careless; noncommittal; unreliable; irresponsible; haphazard |1632
手伝う |てつだう |[1] to help; to assist; to aid [2] to contribute to; to be a factor in |2093
|テニス |tennis |1982
手袋 |てぶくろ |glove; mitten; mitt |N/A
寺 |てら |temple (Buddhist) |1756
点 |てん |[1] dot; spot; point; speck; mark [2] mark (in an exam, etc.); grade; score; points [3] point (in a game); score; goal; run |411
店員 |てんいん |employee (of a store); shop assistant; clerk; salesperson |4731
天気予報 |てんきよほう |weather forecast; weather report |N/A
展覧会 |てんらんかい |exhibition |N/A
電灯 |でんとう |electric light |N/A
電報 |でんぽう |telegram |N/A
都 |と |[1] Metropolis (of Tokyo); (Tokyo) Metropolitan District; metropolitan prefecture [2] counter for cities and towns [3] capital |N/A
到頭 |とうとう |finally; at last; in the end; ultimately |2508
遠く |とおく |[1] far away; distant place; a (great) distance; a long way off; afar [2] long ago; far back; far (into the future) [3] by far |1316
通る |とおる |[10] to be coherent; to be logical; to be reasonable; to be comprehensible; to be understandable; to make sense [11] to get across (e.g. of one's point); to be understood [12] to pass for; to come across as; to seem like |699
特に |とくに |particularly; especially; in particular; expressly |216
特別 |とくべつ |special; particular; extraordinary; exceptional; especial |1383
床屋 |とこや |barbershop; barber shop; barber |N/A
途中 |とちゅう |[1] on the way; en route [2] in the middle of; midway; halfway |693
特急 |とっきゅう |[1] limited express (train for which a limited-express ticket is required) [2] limited express (train making a limited no. of stops) [3] great hurry |N/A
届ける |とどける |[1] to deliver; to forward; to send [2] to report; to notify; to file notice (to the authorities); to give notice; to register |2795
泊まる |とまる |[1] to stay at (e.g. hotel) [2] to be docked; to be berthed; to be moored |1346
止める |とめる |[1] to stop; to turn off [2] to park [3] to prevent; to suppress (a cough); to hold back (tears); to hold (one's breath); to relieve (pain) |814
取り替える |とりかえる |[1] to exchange; to swap; to barter [2] to replace; to substitute |N/A
道具 |どうぐ |[1] tool; implement; instrument; utensil; apparatus; device [2] means [3] furniture |1315
動物園 |どうぶつえん |[1] zoo; zoological gardens [2] Doubutsuen |N/A
泥棒 |どろぼう |[1] thief; burglar; robber [2] theft; burglary; robbery |N/A
|どんどん |[1] drumming (noise); beating; pounding; banging; booming; stamping [2] rapidly; quickly; steadily [3] continuously; one after the other; in succession |379
