焼く |やく |[1] to burn [2] to roast; to broil; to grill; to bake; to toast; to barbecue [3] to heat; to heat up |960
約束 |やくそく |[1] promise; agreement; arrangement; one's word; contract; pact [2] appointment; engagement; date [3] convention; rule |1519
役に立つ |やくにたつ |to be helpful; to be useful |N/A
焼ける |やける |[1] to burn; to burn down; to go down in flames [2] to be roasted; to be thoroughly cooked [3] to be sunburnt; to fade (in the sun) |3134
優しい |やさしい |tender; kind; gentle; graceful; affectionate; amiable |869
痩せる |やせる |[1] to become thin; to lose weight; to slim [2] to become impoverished (of soil); to become sterile; to become infertile; to become barren |1851
漸と |やっと |[1] at last; finally [2] barely; narrowly; just; by the skin of one's teeth |741
止む |やむ |to cease; to stop; to be over |2198
止める |やめる |[1] to stop (an activity); to cease; to discontinue; to end; to quit [2] to cancel; to abandon; to give up; to abolish; to abstain; to refrain |386
柔らかい |やわらかい |[1] soft; tender; supple; flexible; limber; limp [2] gentle; mild; soft; mellow [3] light (topic, book, etc.); informal |2627
湯 |ゆ |[1] hot water [2] hot bath; hot spring [3] molten iron |1517
指 |ゆび |finger; toe; digit |1265
指輪 |ゆびわ |(finger) ring |N/A
夢 |ゆめ |dream |521
揺れる |ゆれる |[1] to shake; to sway; to rock; to swing; to tremble; to jolt; to pitch; to roll; to flicker [2] to become unstable; to become unsettled; to be shaken; to waver |2668
用 |よう |[1] business; task; errand; engagement [2] use; purpose [3] for the use of ...; used for ...; made for ... |3023
用意 |ようい |preparation; arrangements; provision; getting ready; laying out (e.g. a meal) |848
用事 |ようじ |business; things to do; engagement; errand; affairs |3886
汚れる |よごれる |[1] to get dirty; to become dirty [2] to become sullied; to become corrupted; to lose one's chastity |2800
予習 |よしゅう |preparation for a lesson |N/A
予定 |よてい |plans; arrangement; schedule; program; programme; expectation; estimate |905
予約 |よやく |[1] reservation; appointment; booking; advance order [2] contract; subscription; pledge [3] programming (e.g. a device); setting (e.g. a timer) |2474
寄る |よる |[1] to approach; to draw near; to come near; to be close to [2] to gather (in one place); to come together; to meet [3] to stop by (while on one's way to another place); to drop by; to make a short visit |545
喜ぶ |よろこぶ |[1] to be delighted; to be glad; to be pleased; to rejoice [2] to congratulate [3] to welcome (a proposal, advice, etc.); to take kindly to |762 
