kanji|reading|meaning|freaquency
朝ご飯|あさごはん|breakfast|N/A
明後日|あさって|[1] day after tomorrow [2] wrong (e.g. direction)|N/A
暖かい|あたたかい|[1] warm; mild; (pleasantly) hot [2] considerate; kind; genial [3] warm (of a colour); mellow|N/A
飴|あめ|[1] (hard) candy; toffee [2] rice-sugar; sugar made from the starch of rice, potatoes, etc. [3] amber; yellowish-brown|N/A
彼|あれ|[1] that; that thing [2] that person [3] then; that time|N/A
何時も|いつも|[1] always; all the time; at all times [2] never [3] usual; regular; habitual; customary|N/A
上着|うわぎ|[1] coat; jacket; outerwear [2] top; upper-body garment|N/A
お母さん|おかあさん|[1] mother; mom; mum; ma [2] wife [3] you (of an elderly person older than the speaker); she; her|N/A
お金|おかね|money|N/A
お酒|おさけ|alcohol; sake|N/A
お皿|おさら|plate; dish|N/A
お茶|おちゃ|[1] tea (esp. green or barley) [2] tea break (at work) [3] tea ceremony|N/A
お手洗い|おてあらい|toilet; restroom; lavatory; bathroom|N/A
一昨日|おととい|day before yesterday|N/A
一昨年|おととし|year before last|N/A
お兄さん|おにいさん|[1] older brother; elder brother [2] young man; buddy; fella; laddie|N/A
伯母さん|おばさん|aunt|N/A
お風呂|おふろ|bath|N/A
お弁当|おべんとう|bento; Japanese box lunch|N/A
お巡りさん|おまわりさん|police officer|N/A
降りる|おりる|[1] to descend (e.g. a mountain); to go down; to come down [2] to alight (e.g. from bus); to get off; to disembark; to dismount [3] to step down; to retire; to give up; to quit; to fold|N/A
ええ|[1] yes; that is correct; right [2] um; errr; well [3] huh?|18
言う|いう|[1] to say; to utter; to declare [2] to name; to call [3] to go (e.g. "the alarm went ping"); to make a noise|19
あの|say; well; um; er|21
行く|いく|[10] to continue ...; to go on ...; to (progress) steadily; to gradually ...; to progressively ... [11] to have an orgasm; to come; to cum [12] to trip; to get high; to have a drug-induced hallucination|48
今|いま|[1] now; the present time; just now; soon; immediately [2] another; more|69
居る|いる|[1] to be (of animate objects); to exist [2] to stay [3] to be ...-ing; to have been ...-ing|79
後|あと|[1] behind; rear [2] after; later [3] remainder; the rest|83
多い|おおい|[1] many; numerous; a lot [2] large amount of; large quantity of; a lot; much [3] frequent; common|124
色々|いろいろ|[1] various; a variety of; all sorts of; many (different) [2] variously; in various ways; in many ways [3] various things; this and that|143
一|いち|[1] one; 1 [2] best [3] first; foremost|144
一番|いちばん|[1] number one; first; first place [2] best; most [3] game; round; bout|147
同じ|おなじ|[1] same; identical; equal; alike; equivalent [2] anyway; in any case; if one must ...; if one has to ...; as long as ...|149
余り|あまり|[1] remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers [2] (not) very; (not) much [3] too much; excessively; overly|153
入れる|いれる|[1] to put in; to let in; to take in; to bring in; to insert; to install (e.g. software); to set (a jewel, etc.); to ink in (e.g. tattoo) [2] to admit; to accept; to employ; to hire [3] to accept; to comply; to grant; to adopt (a policy, etc.); to take (advice, etc.); to listen to; to pay attention to|164
上|うえ|[10] since ...; now that ...; because ... [11] honorable; venerable; dear [12] emperor; sovereign; shogun; daimyo|171
何時|いつ|[1] when; at what time; how soon [2] normal times; ordinary days|174
終わる|おわる|[1] to end; to come to an end; to finish; to close; to be over [2] to finish; to complete; to conclude [3] to finish doing|200
意味|いみ|meaning; significance; sense|201
大きな|おおきな|big; large; great|213
大きい|おおきい|[1] big; large; great [2] loud [3] extensive; spacious|220
一緒|いっしょ|[1] (doing) together [2] one lump; one mixture; the same category [3] the same; identical|222
上げる|あげる|[10] to increase (price, quality, status, etc.); to develop (talent, skill); to improve [11] to make (a loud sound); to raise (one's voice) [12] to earn (something desirable)|225
貴方|あなた|[1] you [2] dear; honey|226
有る|ある|[1] to be; to exist; to live [2] to have [3] to be located|249
教える|おしえる|[1] to teach; to instruct [2] to tell; to inform; to show [3] to preach|267
置く|おく|[10] to leave something in a certain state; to keep something in a certain state [1] to put; to place [2] to leave (behind)|276
歩く|あるく|to walk|292
男|おとこ|[1] man; male [2] fellow; guy; chap; bloke [3] male lover; boyfriend; man|293
新しい|あたらしい|new; novel; fresh; recent; latest; up-to-date; modern|308
会う|あう|[1] to meet; to encounter; to see [2] to have an accident; to have a bad experience|311
頭|あたま|[10] pair [1] head [2] hair (on one's head)|323
美味しい|おいしい|[1] good(-tasting); nice; delicious; tasty [2] attractive (offer, opportunity, etc.); appealing; convenient; favorable; desirable; profitable|345
覚える|おぼえる|[1] to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember [2] to learn; to pick up; to acquire [3] to feel|358
生まれる|うまれる|to be born|364
朝|あさ|[1] morning [2] breakfast|378
面白い|おもしろい|[1] interesting; fascinating; intriguing; enthralling [2] amusing; funny; comical [3] enjoyable; fun; entertaining; pleasant; agreeable|383
犬|いぬ|[1] dog (Canis (lupus) familiaris) [2] squealer; rat; snitch; informer; informant; spy [3] loser; asshole|390
遊ぶ|あそぶ|[1] to play (games, sports); to enjoy oneself; to have a good time [2] to mess about (with alcohol, gambling, philandery, etc.) [3] to be idle; to do nothing; to be unused|396
女|おんな|[1] woman; female [2] female lover; girlfriend; mistress; (someone's) woman|399
海|うみ|sea; ocean; waters|414
足|あし|[1] foot; paw; arm (of an octopus, squid, etc.) [2] leg [3] gait|427
英語|えいご|English (language)|439
音楽|おんがく|music|494
起きる|おきる|[1] to get up; to rise; to blaze up (fire) [2] to wake up; to be awake; to stay awake [3] to occur (usu. of unfavourable incidents); to happen; to take place|498
駅|えき|[1] railway station; train station [2] staging post on a highway (in pre-modern Japan) [3] counter for railway stations and bus stations|500
嫌|いや|[1] disliking; not wanting; unwilling (to do); reluctant [2] unpleasant; disagreeable; nasty; horrible; disgusting; undesirable; unwelcome [3] no!; quit it!; stop!|501
映画|えいが|movie; film; motion picture|503
一日|いちにち|[1] one day [2] all day (long); the whole day; from morning till night [3] first day of the month|514
色|いろ|[10] kind; type; variety [1] colour; color; hue; tint; tinge; shade [2] complexion; skin colour; skin color|531
売る|うる|[1] to sell [2] to betray; to sell out (one's friend, country, etc.) [3] to make (oneself) known; to establish (a reputation) for oneself|538
