kanji|reading|meaning|frequency
歯 |は |[1] tooth; teeth [2] tooth (of a comb, saw, etc.); cog [3] support (of a geta) |1503
|はい |[1] yes; that is correct [2] understood; I see; OK; okay [3] present; here |N/A
灰皿 |はいざら |ashtray |N/A
入る |はいる |[10] to form (of a crack, fissure, etc.); to develop [11] to be put in (of effort, spirit, feeling, etc.); to be applied (e.g. of strength) [12] to be ready (of tea, coffee, etc.); to be made |109
葉書 |はがき |[1] postcard [2] memo; note; card |3262
箱 |はこ |[1] box; case; chest; package; pack; crate [2] car (of a train, etc.) [3] shamisen case; shamisen |1981
橋 |はし |bridge |2308
箸 |はし |chopsticks |4324
走る |はしる |[1] to run [2] to run (of a vehicle); to drive; to travel; to move; to sail [3] to rush (to); to dash; to race |429
始まる |はじまる |[1] to begin; to start; to commence [2] to happen (again); to begin (anew) [3] to date (from); to originate (in) |401
始め |はじめ |[1] beginning; start; outset; opening [2] first (in line, etc.) [3] origin |1372
初めて |はじめて |[1] for the first time [2] only after ... is it ...; only when ... do you ...; not until ... do you ... [3] first time; (one's) first |284
２０歳 |はたち |[1] 20 years old [2] twenty |4926
働く |はたらく |[1] to work; to labor; to labour [2] to function; to operate; to be effective; to work (i.e. ... works); to come into play [3] to commit (e.g. a crime); to perpetrate; to do; to act; to practise; to practice |418
八 |はち |eight; 8 |930
２０日 |はつか |[1] 20th day of the month [2] 20 days |2365
花 |はな |[1] flower; blossom; bloom; petal [2] cherry blossom [3] beauty |471
鼻 |はな |nose |1635
話 |はなし |[1] talk; speech; chat; conversation [2] topic; subject [3] discussions; negotiation; argument |116
話す |はなす |[1] to talk; to speak; to converse; to chat [2] to tell; to explain; to narrate; to mention; to describe; to discuss [3] to speak (a language) |195
早い |はやい |[1] fast; quick; rapid; swift; speedy; brisk; prompt [2] early; soon; earlier than usual [3] premature; too soon; too early |310
春 |はる |[1] spring; springtime [2] New Year [3] prime (of life); height (of one's prosperity); heyday |940
張る |はる |[10] to become one tile away from completion [11] to span; to generate [1] to stick; to paste; to affix |918
晴れ |はれ |[1] clear weather; fine weather [2] formal; ceremonial; public [3] cleared of suspicion |N/A
晴れる |はれる |[1] to clear up; to clear away; to be sunny; to stop raining [2] to refresh (e.g. spirits) [3] to be cleared (e.g. of a suspicion) |2977
半 |はん |[1] half; semi-; partial [2] half-past [3] odd number |N/A
|ハンカチ |handkerchief |N/A
半分 |はんぶん |half |971
|バス |[1] bus [2] Bath (Britain); Basse; Buss |818
|バター |butter |2499
晩 |ばん |[1] evening; night [2] dinner; evening meal [3] counter for nights |2570
番号 |ばんごう |number; series of digits |3148
晩御飯 |ばんごはん |dinner; evening meal |N/A
|パン |[1] bread; (sweet) pastry [2] staff of life; one's bread |1261
|パーティー |[1] party (social gathering) [2] party (group of people participating in an activity, esp. mountain climbing) [3] (political) party |3407
東 |ひがし |east |2220
引く |ひく |[10] to subtract; to deduct [11] to recede; to ebb; to fade [12] to be descend from; to inherit (a characteristic) |576
弾く |ひく |to play (a stringed or keyboard instrument) |1425
低い |ひくい |[1] low (rank, degree, value, content, quality, etc.) [2] low (position); close to the ground [3] short (height) |733
飛行機 |ひこうき |airplane; aeroplane; plane; aircraft |876
左 |ひだり |[1] left; left-hand side [2] left hand [3] the left (wing); leftist |1230
人 |ひと |[1] person; someone; somebody [2] human beings; mankind; man; people; humans [3] human (Homo sapiens) |58
一つ |ひとつ |[1] one [2] for one thing [3] only |127
一月 |ひとつき |one month |858
一人 |ひとり |[1] one person [2] being alone; being by oneself [3] being single; being unmarried |179
暇 |ひま |[1] spare time; free time; leisure [2] time (it takes to do something); time required [3] time off; leave; vacation; holiday |1487
百 |ひゃく |[1] hundred; 100 [2] Hyaku |2798
昼 |ひる |[1] noon; midday [2] daytime [3] lunch |1305
昼ご飯 |ひるごはん |lunch; midday meal |N/A
広い |ひろい |spacious; vast; wide |602
病院 |びょういん |hospital; clinic; doctor's office; doctor's surgery; infirmary |469
