kanji|reading|meaning|frequency
毎朝 |まいあさ |every morning |3908
毎週 |まいしゅう |every week |2933
毎月 |まいつき |every month; each month; monthly |2322
毎年 |まいとし |every year; yearly; annually |1004
毎日 |まいにち |every day |343
毎晩 |まいばん |every night |N/A
前 |まえ |[10] criminal record; previous conviction; (a) prior [1] in front (of); before (e.g. a building) [2] before; earlier; previously; prior; ago; (minutes) to (the hour) |123
不味い |まずい |[1] bad(-tasting); unpalatable; unsavoury; unsavory; awful; terrible; unpleasant [2] poor; unskillful; unskilful; bungling; clumsy [3] ugly; unattractive; homely; plain |2122
又 |また |[1] again; once more; once again; another time; some other time [2] also; too; as well; likewise [3] on the other hand; while |84
未だ |まだ |[1] still; as yet; only [2] (not) yet [3] more; (more) still |1120
町 |まち |[1] town; block; neighbourhood; neighborhood [2] downtown; main street [3] street; road |225
真っ直ぐ |まっすぐ |[1] straight (ahead); direct; upright; erect [2] straightforward; honest; frank |2084
|マッチ |[1] match (contest) [2] matching (with); going well (with) |N/A
燐寸 |マッチ |match (for lighting a fire) |4509
待つ |まつ |[1] to wait [2] to await; to look forward to; to anticipate [3] to depend on; to need |430
窓 |まど |window |1147
丸い |まるい |[1] round; circular; spherical [2] curved; smooth [3] harmonious; calm; peaceful; amiable; amicable |2173
万 |まん |[1] 10,000; ten thousand [2] myriad [3] everything; all |N/A
万年筆 |まんねんひつ |fountain pen |N/A
磨く |みがく |[1] to polish; to shine; to burnish; to scour; to scrub; to brush (teeth); to grind (e.g. a lens) [2] to refine (a skill, etc.); to improve; to hone; to polish (up); to cultivate (one's character) |3039
右 |みぎ |[1] right; right-hand side [2] right hand [3] the above (in a piece of vertical writing); above-mentioned |1087
短い |みじかい |[1] short [2] brief |1016
水 |みず |[1] water (esp. cool or cold) [2] fluid (esp. in an animal tissue); liquid [3] flood; floodwaters |273
店 |みせ |store; shop; establishment; restaurant |321
見せる |みせる |[1] to show; to display [2] to make (something or someone) look ...; to present an appearance of ... [3] to make (something) worth watching; to be entertaining |513
道 |みち |[1] road; path; street; lane; passage [2] route; way [3] distance; journey |452
３日 |みっか |[1] 3rd day of the month [2] three days [3] Mikka |1494
三つ |みっつ |[1] three [2] three years of age |535
緑 |みどり |[1] green [2] greenery; verdure |1099
皆さん |みなさん |all; everyone; everybody |339
南 |みなみ |south |1333
耳 |みみ |[1] ear [2] hearing [3] ear (for music, etc.) |765
見る |みる |[1] to see; to look; to watch; to view; to observe [2] to examine; to look over; to assess; to check; to judge [3] to look after; to attend to; to take care of; to keep an eye on |67
皆 |みんな |[1] everyone; everybody; all [2] everything; all |157
６日 |むいか |[1] 6th day of the month [2] six days [3] Muika |2866
向こう |むこう |[1] opposite side; other side [2] over there; ahead; beyond; (in the) distance; far away; far off [3] destination; there (somewhere distant, esp. abroad) |604
難しい |むずかしい |[1] difficult; hard; troublesome; complicated; serious (disease, problem, etc.) [2] impossible; unfeasible [3] fussy; particular; fastidious; hard to please; displeased |457
六つ |むっつ |[1] six [2] six years of age [3] six o'clock (old time system) |4887
村 |むら |village |1318
目 |め |[10] spacing (between crossed strands of a net, mesh, etc.); opening; stitch; texture; weave [11] grain (of wood, paper) [12] eye (of a storm, needle, etc.) |169
眼 |め |[10] spacing (between crossed strands of a net, mesh, etc.); opening; stitch; texture; weave [11] grain (of wood, paper) [12] eye (of a storm, needle, etc.) |169
|メガネ |[1] glasses; eyeglasses; spectacles [2] judgment; judgement; discrimination; discernment; insight [3] four-eyes |2721
眼鏡 |めがね |[1] glasses; eyeglasses; spectacles [2] judgment; judgement; discrimination; discernment; insight [3] four-eyes |2721
米 |メートル |[1] metre (unit of length); meter [2] meter; gauge |N/A
|もう |[1] already; yet; by now; now; (not) any more; (not) any longer [2] soon; shortly; before long; presently [3] further; more; again; another; the other |52
もう一度 |もういちど |once more; again |N/A
木曜日 |もくようび |Thursday |N/A
|もっと |(some) more; even more; longer; further |299
持つ |もつ |[1] to hold (in one's hand); to take; to carry [2] to possess; to have; to own [3] to maintain; to keep |98
物 |もの |[10] really; truly [1] thing; object; article; stuff; substance [2] one's things; possessions; property; belongings |38
門 |もん |[1] gate [2] branch of learning based on the teachings of a single master [3] division; phylum |2850
問題 |もんだい |[1] question (e.g. on a test); problem [2] problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter [3] question (i.e. doubt) |167
