来月 |らいげつ |next month |N/A
来週 |らいしゅう |next week |4993
来年 |らいねん |next year |1967
|ラジオ |radio |1674
|ラジカセ |radio-cassette player |N/A
立派 |りっぱ |[1] splendid; fine; handsome; elegant; imposing; prominent; impressive [2] praiseworthy; creditable; worthy [3] legal; legitimate; lawful |1417
留学生 |りゅうがくせい |overseas student; exchange student |N/A
両親 |りょうしん |parents; both parents |802
料理 |りょうり |[1] cooking; cookery; cuisine; food; dish [2] dealing with (skillfully); handling (well); managing |634
旅行 |りょこう |travel; trip; journey; excursion; tour |661
零 |れい |zero; nought |1864
冷蔵庫 |れいぞうこ |refrigerator; fridge |2065
|レコード |[1] record (e.g. LP) [2] record (e.g. in sports) [3] record (data structure) |3429
|レストラン |restaurant (esp. Western-style) |1746
練習 |れんしゅう |practice; training; drill; (an) exercise; workout |584
廊下 |ろうか |corridor; hallway; passageway |2410
六 |ろく |six; 6 |608
