kanji|reading|meaning|frequency
さあ |[1] come (on); come now; come along; here [2] all right; right; okay; now; here goes [3] well; hmm; uh; let's see; I'm not sure |1573
財布 |さいふ |wallet; purse; coin purse; billfold; pocketbook |3890
魚 |さかな |fish |660
先 |さき |[1] point; tip; end; nozzle [2] head (of a line); front [3] first; before; ahead (of) |298
咲く |さく |[1] to bloom; to flower; to blossom; to open [2] to rise up (of breaking waves) |1386
作文 |さくぶん |[1] writing (an essay, prose, etc.); composition [2] formal writing with little real meaning |N/A
差す |さす |[10] to insert one's arm under an opponent's arm [11] to pole (a boat) [12] to pour; to add (liquid); to serve (drinks) |825
砂糖 |さとう |sugar |1510
寒い |さむい |[1] cold (e.g. weather) [2] uninteresting (esp. joke); lame; dull; weak; corny |943
再来年 |さらいねん |year after next |N/A
三 |さん |three; 3 |207
散歩 |さんぽ |walk; stroll |1350
雑誌 |ざっし |magazine; journal; periodical |838
四 |し |four; 4 |319
塩 |しお |[1] salt; common salt; table salt; sodium chloride [2] hardship; toil; trouble [3] saltiness |1241
然し |しかし |however; but |162
仕事 |しごと |[1] work; job; labor; labour; business; task; assignment; occupation; employment [2] work |152
静か |しずか |[1] quiet; silent [2] slow; unhurried [3] calm; peaceful |1139
下 |した |[1] below; down; under; younger (e.g. daughter) [2] bottom [3] beneath; underneath |387
七 |しち |seven |796
質問 |しつもん |question; inquiry; enquiry |506
死ぬ |しぬ |[1] to die; to pass away [2] to lose spirit; to lose vigor; to look dead [3] to cease; to stop |402
閉まる |しまる |[1] to be shut; to close; to be closed [2] to be firm (of a body, face, etc.); to be well-knit [3] to be locked |N/A
締める |しめる |[1] to tie; to fasten; to tighten [2] to wear (necktie, belt); to put on [3] to total; to sum |1673
閉める |しめる |to close; to shut |N/A
写真 |しゃしん |[1] photograph; photo; picture; photography [2] moving picture; movie |431
シャツ |[1] shirt (undergarment); undershirt; singlet [2] shirt (outerwear; usu. with collar and buttons) |3837
シャワー |shower |3446
宿題 |しゅくだい |[1] homework; assignment [2] pending issue; unresolved problem; open question |4120
醤油 |しょうゆ |soy sauce; soya sauce; shoyu |3058
食堂 |しょくどう |[1] dining room; dining hall; cafeteria; canteen; messroom [2] restaurant; eatery; snack bar; diner |3981
知る |しる |[1] to know; to be aware (of); to be conscious (of); to learn (of); to find out; to discover [2] to sense; to feel; to notice; to realize [3] to understand; to comprehend; to grasp; to appreciate |134
白 |しろ |[1] white [2] innocence; innocent person [3] blank space |1456
白い |しろい |white |783
新聞 |しんぶん |newspaper |643
時間 |じかん |[1] time [2] hour [3] period; class; lesson |183
辞書 |じしょ |[1] dictionary; lexicon [2] letter of resignation |3697
自転車 |じてんしゃ |bicycle; bike |782
自動車 |じどうしゃ |car; automobile; motorcar; motor vehicle; auto |1753
字引 |じびき |dictionary |N/A
