kanji|reading|meaning|frequency
大使館 |たいしかん |embassy |N/A
大切 |たいせつ |[1] important; significant; serious; crucial [2] precious; valuable; dear; cherished; beloved [3] careful |426
大変 |たいへん |[1] very; greatly; terribly; awfully [2] immense; enormous; great [3] serious; grave; dreadful; terrible |238
高い |たかい |[1] high; tall [2] expensive; high-priced [3] high (level); above average (in degree, quality, etc.) |228
沢山 |たくさん |[1] a lot; lots; plenty; many; a large number; much; a great deal; a good deal [2] enough; sufficient [3] enough; too many; too much |257
|タクシー |taxi |1997
立つ |たつ |[10] to take action; to act; to rise (up); to rouse oneself [11] to have an erection; to become erect (e.g. of nipples) [12] to be established (of a policy, plan, objective, etc.); to be formed |342
縦 |たて |[1] the vertical; height [2] front-to-back; length [3] north-to-south |3377
建物 |たてもの |building |842
楽しい |たのしい |enjoyable; fun; pleasant; happy; delightful |277
頼む |たのむ |[1] to request; to beg; to ask [2] to call; to order; to reserve [3] to entrust to |888
煙草 |タバコ |[1] tobacco; cigarette; cigar [2] tobacco plant (Nicotiana tabacum) [3] Tabaco |870
多分 |たぶん |[1] probably; likely; perhaps; maybe [2] a lot of; much; many; considerable; large (amount); generous |320
食べ物 |たべもの |food |931
食べる |たべる |[1] to eat [2] to live on (e.g. a salary); to live off; to subsist on |160
卵 |たまご |[1] eggs; egg; spawn; roe [2] (hen's) egg [3] a ... in the making; future (lawyer, doctor, etc.); budding ... |1369
誕生日 |たんじょうび |birthday |3018
大学 |だいがく |[1] university; college [2] former imperial university of Japan (established under the ritsuryō system for the training of government administrators) [3] the Great Learning (one of the Four Books) |375
大丈夫 |だいじょうぶ |[1] safe; secure; sound; problem-free; without fear; all right; alright; OK; okay [2] certainly; surely; undoubtedly [3] no thanks; I'm good; that's alright |626
大好き |だいすき |liking very much; loving (something or someone); adoring; being very fond of |885
台所 |だいどころ |[1] kitchen [2] financial situation; finances |2970
出す |だす |[1] to take out; to get out [2] to put out; to reveal; to show [3] to submit (e.g. thesis); to turn in |178
誰 |だれ |who |217
誰か |だれか |someone; somebody |N/A
段々 |だんだん |[1] gradually; by degrees; little by little; more and more; increasingly [2] steps; stairs; staircase; terrace |433
小さい |ちいさい |[1] small; little; tiny [2] slight; below average (in degree, amount, etc.); minor; small [3] low (e.g. sound); soft (e.g. voice) |314
小さな |ちいさな |small; little; tiny |481
