八百屋|やおや|[1] greengrocer; fruit and vegetable shop [2] jack of all trades|N/A
野菜|やさい|[1] vegetable [2] marijuana; cannabis|1113
易しい|やさしい|easy; plain; simple|N/A
安い|やすい|[1] cheap; inexpensive [2] calm; peaceful; quiet|520
休み|やすみ|[1] rest; recess; respite [2] vacation; holiday; absence; suspension [3] dormancy (of a silkworm prior to moulting)|1385
休む|やすむ|[1] to be absent; to take a day off [2] to rest; to have a break [3] to go to bed; to (lie down to) sleep; to turn in; to retire|1365
八つ|やっつ|[1] eight [2] eight years of age [3] two o'clock (old time system)|N/A
山|やま|[10] festival float (esp. one mounted with a decorative halberd) [11] deck (from which players draw cards); draw pile; stock [12] wall; wall tile|459
夕方|ゆうがた|early evening (usu. from 3pm to 6pm); dusk|1459
夕飯|ゆうはん|evening meal; dinner; supper|N/A
郵便局|ゆうびんきょく|post office|3533
昨夜|ゆうべ|last night; yesterday evening|4014
有名|ゆうめい|famous; well-known|453
雪|ゆき|snow; snowfall|1092
|ゆっくり|[1] slowly; unhurriedly; without haste; leisurely; at one's leisure [2] easily (e.g. in time); well; sufficiently; amply; with time to spare [3] well (e.g. sleep); comfortably|855
良い|よい|[1] good; excellent; fine; nice; pleasant; agreeable [2] sufficient; enough; ready; prepared [3] profitable (deal, business offer, etc.); beneficial|70
８日|ようか|[1] 8th day of the month [2] eight days [3] Youka|2778
洋服|ようふく|Western-style clothes (cf. traditional Japanese clothes)|2176
良く|よく|[1] nicely; properly; well; skillfully; skilfully [2] frequently; often [3] I'm glad that you ...; thank you for ...|126
横|よこ|[1] horizontal (as opposed to vertical) [2] side-to-side (as opposed to front-to-back); width; breadth [3] side (of a box, etc.)|899
４日|よっか|[1] 4th day of the month [2] four days|2237
四つ|よっつ|[1] four; 4 [2] four years of age [3] ten o'clock (in the old time system)|1801
呼ぶ|よぶ|[1] to call out (to); to call; to invoke [2] to summon (a doctor, etc.) [3] to invite|290
読む|よむ|[1] to read [2] to recite (e.g. a sutra); to chant [3] to predict; to guess; to forecast; to read (someone's thoughts); to see (e.g. into someone's heart); to divine|261
|より|[1] than [2] rather than; instead of; over; above [3] from; out of; since; at; on (and after)|726
夜|よる|[1] evening; night [2] dinner|332
弱い|よわい|weak; frail; delicate; tender; unskilled; weak (wine)|1066
