word|reading|russian translation|english translation|serbian translation|russian mnemonic|english mnemonic|serbian mnemonic|japanese menmonic
一|いち||один|one|један|одна горизонтальная линия — это просто число один|one horizontal line — it’s simply the number one|једна хоризонтална линија — то је број један|一|の横線、それは「一」
一|いち||один|one|један|Один(一) прямой путь, одна линия|One(一) straight path, one line|Један(一) прави пут, једна линија|一(一)の線は、すべての始まり
口|くち||рот|mouth|уста|Это круглый рот, но так как в кандзи не используют круги, он изображён как квадрат.|This is a round mouth, but since kanji don’t use circles, it’s drawn as a square.|Ово су округла уста, али пошто канджи не користе кругове, нацртана су као квадрат.|口は|来丸いが、漢字では円を使わないため、四角い形で表される。
口|くち||рот|mouth|уста|квадратная форма — это рот, который открывается и закрывается|a square shape — it’s a mouth that opens and closes|квадратни облик — то су уста која се отварају и затварају|四角い形、それは「口」
口|くち||рот|mouth|уста|Рот(口) – это квадратное отверстие, через которое проходят слова и еда|The mouth(口) is a square opening where words and food pass through|Уста(口) су четвртасто отвора где пролазе речи и храна|口(口)は四角い開口部で、言葉や食べ物が通る
中, 中, 中, お中|なか, うち, ちゅう, おなか|口, 丨|внутрь, середина|inside, middle|унутра, средина|Напиток через соломинку(丨), которая проходит через середину рта(口), попадает внутрь живота|A drink through a straw(丨) passing through the middle of the mouth(口) goes inside the stomach|Пиће кроз сламку(丨) пролази кроз средину уста(口) и иде унутра|ストロー(丨)が口(口)を通って中に入る
事|こと|一,口,中,亅,⺕|дело, событие, факт|affair, thing, fact|ствар, догађај, чињеница|одна (一) кисть (亅) внутри (中) трёх пальцев руки (⺕) записывает все вещи (события, факты, обстоятельства) в ваше дело|one (一) brush (亅) inside (中) three fingers of a hand (⺕) writes down all your affairs, all the things and facts about you|једна (一) четкица (亅) унутар (中) три прста руке (⺕) записује све ствари (чињенице, догађаје)|一(一)の筆(亅)が、手の三|指(⺕)の中(中)で全ての事を記録する
言,言う|いう|一, 口|говорить|say|рећи, говорити|одно короткое(一), одно длинное(一), одно(一) за одним(一) выходят слова через рот(口), когда человек говорит|short one(一), long one(一), one(一) by one(一), words come through the mouth(口) when a person says something|једна кратка(一), једна дуга(一), једна(一) за другом(一), речи пролазе кроз уста(口) када неко говори|短い(一)のと長い(一)の、一(一)つずつ(一)、口(口)から言葉が出るとき、それは「言う」
人|ひと, にん, じん||человек|person, human|човек|Это человечек из палок без рук, потому что он персонаж Homestuck, который ещё не получил команду найти руки.|This is a stick figure of a human without hands because it's a Homestuck character who hasn’t received the command to retrieve their hands yet.|Ово је човек као штап без руку јер је Homestuck лик који још није добио команду да нађе руке.|これは手のない棒人間。Homestuck のキャラクターで、まだ「手を取り戻す」コマンドを受けていない
彳||人|шаг, идти|step, go|корак, ићи|Сжатый человек (人) делает шаг вперёд, оставляя за собой след от движения (彳)|A compressed person (人) takes a step forward, leaving an afterimage of motion (彳)|Сабијена особа (人) прави корак напред, остављајући траг кретања (彳)|縮んだ (人) が一歩踏み出し、動きの残像 (彳) を残す
彳む|たたずむ|人|слоняться, застыть на месте|to stand still, to loiter|застати, стајати мирно|Шаг (彳) без правой части — нет цели, человек (人) слоняется или застыл|Step (彳) without the right part—no purpose, a person (人) loiters or stops|Корак (彳) без десне стране — без циља, особа (人) лута или стоји|右側がない彳 – 目的なく、人 (人) がうろつくか立ち止まる
又|また||опять, также, рука|again, also, hand|опет, такође, рука|Иcторически это пиктограмма руки с тремя пальцами, похожая на ヌ. Если видна одна рука, то с другой стороны человека снова[また] найдётся рука.|Originally, 又 is a pictogram of a hand with three fingers, similar to ヌ. If you see one hand, on the other side of the person, you’ll find another hand again[また].|Првобитно, 又 је пиктограм руке са три прста, сличан ヌ. Ако видиш једну руку, са друге стране особе наћи ћеш опет[また] руку.|元々、又は三|指の手の象形文字で、ヌ に似ている。一方の手 (又) が見えたら、もう一方も また (又) ある。
十|じゅう||десять|ten|десет|Две руки, скрещенные, показывают десять пальцев.|Two hands crossing, showing ten fingers.|Две прекрштене руке показују десет прстију.|二つの手が交差して、十本の指を示している。
支,支える,支え,支える|ささえる,ささえ,つかえる|又, 十|ветка, поддержка, удерживать|branch, support, hold|грана, подршка|Рука (又) разветвляется в пять пальцев, другая рука (又) опять (又) разветвляется – всего десять (十) пальцев. Они могут поддерживать, но и удерживать.|A hand (又) branches into five fingers, and another hand (又) again (又) branches—making | (十) fingers total. They can support but also hold.|Рука (又) се грана у пет прстију, друга рука (又) се опет (又) грана – укупно десет (十) прстију који могу да подрже, али и да ухвате.|手 (又) は五|の指に分かれ、もう一方の手 (又) も また (又) 分かれる – 合計十 (十) |の指で 支える ことも掴むこともできる
皮|かわ|丿, 又|кожа, шкура, кора|skin, pelt, bark|кожа, крзно, кора|Ветка (支) со свисающей полосой коры(丿). Кора – это шкура или кожа дерева.|Branch (支) with partially peeled bark(丿), which is the tree’s pelt or skin.|Грана (支) са огуљеном кором(丿), која је попут коже дрвета.|枝(又)の皮が剥がれ(丿)、それは木の「皮」
彼, 彼の|かれ, あの|彳, 皮|он, тот|he, that|он, тај|Мне и так хватает тяжёлой работы. Вот пусть он[かれ] пойдёт(彳) и снимет ту[あの] шкуру[皮].|I already have enough hard work. Let him[かれ] go(彳) and remove that[あの] pelt[皮].|Већ имам довољно тешког посла. Нека он[かれ] иде(彳) и скине ту[あの] крзно[皮].|彼[かれ]は行く(彳)と、あの[あの]皮(皮)を剥ぐ
日|にち, ひ||солнце, день|sun, day|сунце, дан|Это круг с точкой посередине – солнце, но в кандзи круги не используют, поэтому оно превратилось в квадрат с линией.|This is a circle with a dot in the middle—the sun. But since kanji don’t use circles, it became a square with a line inside.|Ово је круг са тачком у средини – сунце. Али пошто канджи не користе кругове, постао је квадрат са линијом.|太陽は中央に点のある円だが、漢字では円を使わないため、四角に線が入った形になった
白|しろ|日|белый|white|бело|Штрих сверху солнца (日) – это луч белого света.|The dash above the sun (日) is a ray of white light.|Цртица изнад сунца (日) је зрак беле светлости.|太陽 (日) の上の線は白い光の光
灬|||огонь, пламя|fire, flames|ватра, пламен|Похоже на пламя газовой горелки – маленькие языки огня, равномерно расположенные снизу.|Looks like the flame of a gas stove—small tongues of fire evenly placed at the bottom.|Личи на пламен гасне пећи – мали језици ватре равномерно распоређени испод.|ガスコンロの炎のように見える。小さな火が下に均等に並んでいる。
鳥|とり|白, 灬|птица|bird|птица|Белый глаз (白), горизонтальное крыло (一), хвост внизу и когти (灬).|A white eye (白), a horizontal wing (一), a tail below, and claws (灬).|Бело око (白), хоризонтално крило (一), реп испод и канџе (灬).|白い目 (白)、横に広がる翼 (一)、下に尾、そして爪 (灬)。
為る, 為|する, ため|灬|делать, ради, во имя|to do, for the sake of|чинити, зарад, ради|Это похоже на несколько деформированную птицу (鳥): крыло теперь направлено вниз, а сверху слева раскрытый клюв с высунутым языком. Похоже, кто-то заменил её ноги на огонь (灬). Ради [ため] чего он сделал [する] это?|It looks like a somewhat deformed bird (鳥), its wing now directed downward, with an open beak and tongue out on the top left. Looks like someone swapped its legs for fire (灬). For the sake [ため] of what did he do [する] that?|Личи на деформисану птицу (鳥), чије је крило сада окренуто надоле, а горе лево је отворен кљун са исплаженим језиком. Изгледа као да је неко заменио њене ноге ватром (灬). Зарад [ため] чега је он то учинио [する]?|少し変形した鳥 (鳥) に見える。翼は下向きで、左上には開いたくちばしと舌がある。誰かが足を火 (灬) に変えたようだ。何のため [ため] に そんなことを した [する] のか？
月|つき||луна, месяц|moon, month|месец|Полумесяц похож на солнце (日), но с двумя заострёнными концами.|A crescent moon is like the sun (日), but with two sharp ends.|Полумесец личи на сунце (日), али има два оштра краја.|三日月は太陽 (日) に似ているが、両端が尖っている。
内|うち|人, 冂|внутри, дом|inside, within, home|унутра, дом|Человек (人) находится внутри (内) перевёрнутой коробки (冂), используя её как дом.|A person (人) is within (内) an upside-down box (冂), using it as their home.|Особа (人) је унутар (内) преврнуте кутије (冂), користећи је као дом.|人 (人) が逆さまの箱 (冂) の 中 (内) にいて、それを 家 (home) として使っている。
肉|にく|人, 冂, 内|мясо, плоть|meat, flesh|месо|Внутри (内) человека (人) есть мясо (肉). В составе других кандзи 肉 часто упрощается и выглядит точно как луна (月).|Inside (内) a person (人), there is meat (肉). As part of other kanji, 肉 is of| contracted to look exactly like the moon (月).|Унутар (内) особе (人) налази се месо (肉). У другим канджи знацима 肉 је често поједностављен и изгледа баш као месец (月).|人 (人) の 内 (うち) に肉 (肉) がある。他の漢字では、肉はよく簡略化され、月と|じ形になる。
有る|ある|ナ, 月|иметь, обладать|to have, to possess|имати, поседовати|Человек накрывает рукой (ナ) мясо (月), которое у него есть (有る), чтобы его не забрали.|A person covers the meat (月) with their hand (ナ) because they have (有る) it and don’t want to lose it.|Човек покрива месо (月) руком (ナ) јер га има (有る) и не жели да га изгуби.|人は持っている (有る) 肉 (月) を手 (ナ) で覆い、取られないようにする。
無, 無い, 無し|む, ない, なし|灬|без, нет, ничего|without, nothing, nonexis|t|без, нема, ништа|Верхняя решётка изображает ровные ряды танцоров, но сцена охвачена огнём (灬), и танцы прекратились.|The top grid represents neatly lined-up dancers, but the stage is on fire (灬), and the dance is no more.|Горња решетка приказује уредно поређане плесаче, али је сцена у пламену (灬), и више нема плеса.|上の格子は整列したダンサーを表しているが、舞台は火 (灬) に包まれ、踊りはもうない。
無, 無い, 無し|む, ない, なし|灬|без, нет, ничего|without, nothing, nonexis|t|без, нема, ништа|Бочка из планок скреплённых тремя обручами и ручкой сбоку. Она стояла на огне (灬), но выкипела и сгорела, оставив ничего.|A barrel made of planks, held together by three hoops and a side handle. It was on the fire (灬), but boiled dry and burned away, leaving nothing.|Буре направљено од дасака, учвршћено трима обручима и дршком са стране. Стајало је на ватри (灬), али је прокључало и изгорело, не оставивши ништа.|三つの輪で固定された木の板と取っ手がついた樽。火 (灬) の上にあったが、沸騰して燃え尽き、何も残らなかった。
弋|いぐるみ,しきがまえ||стрела, церемония|arrow, ceremony|стрела, церемонија|Этот знак изображает лучника на охоте, но в густонаселённых местах охотиться негде, и теперь он ассоциируется с церемониями.|This symbol depicts an archer on a hunt, but in densely populated areas, there is nowhere to hunt, so archers became more associated with ceremonial settings.|Овај знак приказује стрелца у лову, али у густо насељеним местима нема где да се лови, па су стрелци постали повезани са церемонијама.|この記号は狩猟中の弓射手を表しているが、人口密集地では狩猟の場がなく、儀式に関連するようになった。
戈|ほこ|弋|алебарда, копьё, оружие|halberd, spear, weapon|хелебарда, копље, оружје|Алебарда – это большая стрела (弋) с дополнительным лезвием, которым можно рубить.|A halberd is a big arrow (弋) with an additional blade that can slash.|Хелебарда је велика стрела (弋) са додатним сечивом које може да сече.|戈 (ほこ) は大きな矢 (弋) に追加の刃がついており、斬ることもできる。
勹|つつみがまえ||обёртывание, охват|wrapping, enclosure|омотај, окружење|Похоже на хобот слона, готовый завернуться вокруг чего-то.|Looks like an elephant’s trunk, ready to wrap around something.|Личи на хобот слона, спреман да се обави око нечега.|象の鼻のように見え、何かを包み込む準備をしている。
成る|なる|戊, 戈, 勹|становиться, превращаться, достигать|to become, to turn into, to achieve|постати, претворити се, остварити|Алебарда (戈) становится [なる] опасной, когда с её наконечника снимают обёртку (勹).|A halberd (戈) becomes [なる] dangerous when the wrapping (勹) is removed from its tip.|Хелебарда (戈) постаје [なる] опасна када се омотач (勹) уклони са њеног врха.|戈 (ほこ) は、先端の包み (勹) を取り除くと [なる] 成る 危険な武器になる。
其, 其れ, 其の|それ, その|甘, 一, 八|этот, некий|tha|тај|Происходит от рисунка корзины на подставке.|Originates from drawing of a basket on a stand.|Потиче од цртежа корпе на постољу.|かごが台の上にある絵から生まれた。
其, 其れ, 其の|それ, その|甘, 一, 八|этот, некий|that, a certain|тај, неки|Происходит от рисунка корзины на подставке. Внутри что-то есть, но пока неизвестно что.|Originates from drawing of a basket on a stand. There is something inside, but you don’t know what that is yet.|Потиче од цртежа корпе на постољу. Унутра је нешто, али још не знаш шта.|かごが台の上にある絵から生まれた。中に何かがあるが、それが何かはまだ分からない。
田|た||рисовое поле|rice field, paddy|пиринчано поље|Выглядит как поле, разделённое каналами на четыре части.|Looks like a field divided into four sections by irrigation channels.|Личи на поље подељено на четири дела наводњавањем.|水路で四つに区切られた田んぼの形。
心|しん, こころ||сердце, разум, душа|heart, mind, spirit|срце, ум, дух|Три маленькие черточки можно представить как артерии, капли крови или удары сердца.|Three small dashes can be interpreted as arteries, drops of blood, or heartbeats.|Три мале цртице могу се протумачити као артерије, капи крви или откуцаји срца.|三つの小さな線は動脈、血のしずく、または心拍として解釈できる。
思う, 思い|おもう, おもい|田, 心|думать, считать, чувствовать|to think, to consider, to feel|мислити, разматрати, осећати|В старину рисовые поля (田) занимали важное место в сердцах (心) людей. Они часто о них думали.|In the past, rice fields (田) held an important place in people’s hearts (心). They thought about them a lot.|У прошлости су пиринчана поља (田) заузимала важно место у срцима (心) људи. Често су о њима размишљали.|昔、田んぼ (田) は人々の心 (心) に大きな存在だった。彼らはよくそれについて 考えた。
勿れ|なかれ|刀|нельзя, не, ненужный|must not, not, unnecessary|не сме, није потребно, не|Происходит от изображения ножа со стекающей кровью — предупреждения, что делать что-то нельзя [なかれ].|Originates from the image of a knife with dripping blood, a warning that you must not do something [なかれ], or else.|Потиче од слике ножа са капљама крви — упозорење да нешто не сме да се ради [なかれ].|ナイフから血が滴る絵に由来し、やってはいけない [なかれ] という警告を示している。
生まれる, 生きる|うまれる, いきる|牛|жить, рождаться, сырой|to live, to grow, raw, birth|живети, рађати се, сиров|Изображает росток, пробивающийся из земли с первым листом.|Depicts a sprout pushing through the ground with its first leaf.|Приказује изданак који избија из земље са првим листом.|地面から芽が出て、最初の葉を広げている様子を描いている。
牛|うし||корова, бык|cow, ox, cattle|крава, во|Похоже на росток из 生 (жизнь), но без нижней линии, изображающей землю — корова (牛) может съесть всё растение, но не землю.|Looks like a sprout from 生 (life) without the bottom line depicting the ground—a cow (牛) can eat the whole plant but not the earth.|Личи на изданак из 生 (живот), али без доње линије која приказује земљу — крава (牛) може појести целу биљку, али не и земљу.|生 (せい) の芽に見えるが、下の地面の線がない。牛 (うし) は植物を食べられるが、土は食べられない。
物|もの|牛, 勿|вещь, предмет, объект|thing, object, matter|ствар, предмет, објекат|Корова (牛) сделала то, чего делать нельзя (勿). Теперь из неё сделают вещи.|A cow (牛) did something it must not (勿) do. Now it will be made into things.|Крава (牛) је урадила нешто што не сме (勿). Сада ће од ње направити ствари.|牛(うし)はしてはいけないこと(勿)をしてしまった。今、それは物になる。
