Kanji|English|Utility|Use
一|one|1|2
右|right|1|602
雨|rain|1|950
円|yen|1|69
王|monarch|1|684
音|sound|1|491
下|down|1|97
火|fire|1|574
花|flower|1|578
貝|shellfish|1|1787
学|study|1|63
気|spirit|1|113
休|rest|1|642
玉|gem|1|737
金|gold|1|53
九|nine|1|55
空|emptiness|1|304
月|moon|1|23
犬|dog|1|1326
見|see|1|22
五|five|1|31
口|mouth|1|284
校|school|1|294
左|left|1|630
三|three|1|14
山|mountain|1|131
四|four|1|47
子|child|1|72
糸|thread|1|1488
字|kanji|1|485
耳|ear|1|1328
七|seven|1|115
車|vehicle|1|333
手|hand|1|60
十|ten|1|8
出|go out|1|13
女|woman|1|151
小|small|1|114
上|up|1|35
森|forest|1|609
人|person|1|5
水|water|1|223
正|proper|1|143
生|life|1|29
青|blue|1|589
石|stone|1|342
赤|red|1|584
先|ahead|1|173
千|thousand|1|195
川|river|1|181
早|early|1|402
草|grass|1|967
足|foot|1|343
村|village|1|253
大|big|1|7
男|man|1|240
竹|bamboo|1|593
中|middle|1|11
虫|insect|1|1351
町|town|1|292
天|sky|1|512
田|rice field|1|90
土|earth|1|307
二|two|1|9
日|day|1|1
入|enter|1|56
年|year|1|6
白|white|1|483
八|eight|1|92
百|hundred|1|163
文|literature|1|190
本|book|1|10
名|name|1|177
木|tree|1|317
目|eye|1|76
夕|evening|1|924
立|stand|1|58
力|power|1|62
林|woods|1|656
六|six|1|93
引|draw|2|218
羽|feather|2|748
雲|cloud|2|1256
園|garden|2|628
遠|far|2|887
黄|yellow|2|1240
何|what|2|340
夏|summer|2|659
家|house|2|133
科|subdivision|2|531
歌|song|2|519
画|picture|2|199
画|plan|2|199
画||2|199
会|meet|2|4
回|rotate|2|50
海|sea|2|200
絵|picture|2|895
外|outside|2|81
角|angle|2|805
楽|pleasure|2|373
楽|music|2|373
楽||2|373
活|alive|2|171
間|interval|2|33
丸|round|2|542
岩|rock|2|787
顔|face|2|676
帰|go back|2|504
汽|steam|2|2020
記|record|2|149
弓|bow|2|1802
牛|cow|2|1202
魚|fish|2|1208
京|capital city|2|74
強|strong|2|112
教|teach|2|166
近|near|2|194
兄|elder brother|2|1219
形|shape|2|418
計|measure|2|228
元|origin|2|192
原|field|2|172
言|word|2|83
古|old|2|509
戸|door|2|575
午|noon|2|154
後|after|2|26
語|language|2|301
交|intersect|2|178
光|shine|2|527
公|public|2|118
工|engineering|2|299
広|wide|2|263
考|think|2|196
行|go|2|20
高|high|2|65
合|join|2|41
国|country|2|3
黒|black|2|573
今|now|2|49
才|talent|2|1497
細|detailed|2|537
作|make|2|103
算|calculate|2|361
姉|older sister|2|1473
市|city|2|42
思|think|2|132
止|stop|2|310
紙|paper|2|559
寺|temple|2|879
時|time|2|16
自|self|2|19
室|room|2|550
社|company|2|21
弱|weak|2|958
首|neck|2|98
秋|autumn|2|635
週|week|2|540
春|springtime|2|579
書|write|2|169
少|little|2|287
場|place|2|52
色|color|2|621
食|eat|2|328
心|heart|2|157
新|new|2|51
親|parents|2|406
図|drawing|2|539
数|number|2|148
星|star|2|844
晴|fine weather|2|1022
声|voice|2|388
西|west|2|259
切|cut|2|324
雪|snow|2|1131
線|line|2|382
船|ship|2|713
前|before|2|27
組|group|2|204
走|run|2|626
多|many|2|139
太|thick|2|552
体|body|2|88
台|pedestal|2|262
谷|valley|2|508
知|know|2|205
地|ground|2|40
池|pond|2|827
茶|tea|2|1116
