Japanese|Romaji|English|Utility|Type
愛|ai|love; |1|
愛 する|ai suru|love; be in love|1|
挨拶|aisatsu|greeting; salutation; reply; answer; notice; warning; |1|
挨拶 する|aisatsu suru|greet; reply; give notice|1|
合図|aizu|sign; signal|1|
アイスクリイム|aisukuriimu|ice cream|1|
間|aida|interval; gap; space; distance; period of time; relationship|1|
間 の|aida no|between; among; during; while|1|
相手|aite|the other party (partner; companion; opponent; object etc.); |1|
相手 に する|aite ni suru|deal with  smb.; |1|
相手 お する|aite o suru|keep company with  smb.; play against  smb.|1|
会う|au|meet|1|
合う|au|fit; suit; coincide; harmonize; be correct; be profitable|1|
青|ao|blue color; green color; green light|1|
青い|aoi|blue; green; pale; pallid; unripe|1|
赤|aka|red color; red; Red; Communist|1|
赤い|akai|red|1|
赤ちゃん|akachan|baby|1|
明[か]り|akari|light; lamp|1|
上がる|agaru|go up; climb; rise; advance; land; go ashore; come in; enter (a house); visit; be completed; come to an end; issue; accrue; be derived; cost (little), be sufficient; be anxious; be nervous; die (as of fish; reptiles; insects or plants); be offered (as of flowers etc.); honorific  eat; drink|1|
明るい|akarui|literal or fig. bright; light; clear; fair; uncorrupt; well versed in  smth.|1|
秋|aki;$|autumn; fall; |1|
秋 の|aki;$ no|autumnal|1|
明らか|akiraka|clear; distinct; obvious|1|
諦める|akirameru|give up; abandon; reconcile oneself|1|
飽きる|akiru|be fed up; have enough; lose interest|1|
空く|aku|be empty (vacant; free; available); have a gap; have an aperture; expire; be over|1|
空ける|akeru|clear; empty; vacate; make room; bound  make (bore; drill) a hole|1|
明ける|akeru|dawn; break; become light; begin; open (as of the new year etc.); be over; expire|1|
上げる|ageru|raise; elevate; lift up; increase; give; offer; present; complete; finish; after a verb in '  te' form indicates that the action is performed for 2 nd or 3 rd person; gain (profit), achieve (results); praise; be not too expensive; send (a child to school); hold (a ceremony), solemnize; show in; usher in; admit; throw up; vomit|1|
朝|asa|morning; |1|
朝 に|asa ni|in the morning|1|
浅い|asai|shallow; superficial; light; pale (as of a color); early (as of a season)|1|
明後日|asatte;myougonichi|day after tomorrow|1|
足|ashi|foot; leg; paw; tentacle; flipper; leg of furniture; step; stride; walking; gait; pace; base; foot (of a mountain or vertical line); draft (of a ship); col. money; interest; stickiness (of rice etc.); numerous idioms with this word|1|
味|aji|taste; flavor; relish; pleasure; sentiment (of the market)|1|
味 な|aji na|clever; witty; smart|1|
