Japanese|Romaji|Russian|Utility|Type
愛|ai|любовь; |1|
愛 する|ai suru|любить|1|
挨拶|aisatsu|приветствие; ответ; предупреждение; оговорка; |1|
挨拶 する|aisatsu suru|приветствовать; отвечать; предупреждать|1|
合図|aizu|сигнал; знак|1|
アイスクリイム|aisukuriimu|мороженое (англ. ice cream)|1|
間|aida|промежуток; интервал; расстояние; период времени; взаимоотношения|1|
間 の|aida no|между; среди; в течение; пока|1|
相手|aite|партнер; собеседник; оппонент; противник; объект (тот; с кем имеешь дело); |1|
相手 に する|aite ni suru|брать в партнеры; иметь дело  с кем  л.; |1|
相手 お する|aite o suru|составить компанию  кому  л.|1|
会う|au|встречать [ся]|1|
合う|au|подходить  для чего  л.; совпадать; согласовываться; быть правильным; быть выгодным|1|
青|ao|голубое; синее; зеленый сигнал (светофора)|1|
青い|aoi|синий; голубой; зеленый; бледный (о лице); незрелый|1|
赤|aka|красное; красный цвет; , коммунист|1|
赤い|akai|красный|1|
赤ちゃん|akachan|ласк. младенец|1|
明[か]り|akari|свет; освещение; лампа|1|
上がる|agaru|подниматься; повышаться; выходить (из воды; ванны); заходить (в дом; комнату); закончиться; прийти к концу; извлекаться (о доходах); обходиться (недорого); волноваться; нервничать; погибать (о рыбе; рептилиях; насекомых и растениях); быть возложенным (о цветах); перех. вежл. кушать; пить|1|
明るい|akarui|прям. и перен. светлый; ясный; открытый; честный; сведущий  в чем  л.|1|
秋|aki;$|осень; |1|
秋 の|aki;$ no|осенний|1|
明らか|akiraka|ясный; очевидный; явный|1|
諦める|akirameru|примириться  с чем  л., махнуть рукой; отказаться от мысли (сделать что  л.)|1|
飽きる|akiru|пресыщаться  чем  л., терять интерес; приедаться; надоедать; наскучивать|1|
空く|aku|быть пустым (свободным; незанятым); иметь щель; иметь зазор; закончиться; подойти к концу|1|
空ける|akeru|освобождать (место); опорожнять; выливать; высыпать; связ. проделывать отверстие|1|
明ける|akeru|светать; рассветать; начинаться (о новом годе и т.п.); кончаться (о сроке)|1|
