Japanese|Romaji|Russian|Utility|Type
一|ICHI|один|1|
一つ の|hitotsu no|один; один и тот же|1|
一つ に|hitotsu ni|во  первых; прежде всего|1|
一つ|hitotsu|разок; немножко|1|
一|ITSU|одно  [целое]|1|
一に|ITSUNI|всецело; целиком; частично|1|
一々|ICHIICHI|по одному; один за другим; все до единого; подробно; детально|1|
右 の|migi no|правый|1|
雨|ame|дождь; переносное:  град (ударов; пуль; вопросов)|1|
円|EN|геом. окружность; иена|1|
円|maru|круг|1|
円い|marui|круглый|1|
円か な|madoka na|возвышенное: круглый; спокойный; тихий|1|
円やか な|maroyaka na|круглый; мягкий; сочный|1|
円ら な|tsubura na|книжное:  круглый; округленный|1|
王|OU|царь; король; монарх; правитель; сеги  король|1|
音|ON|звук; (японизированное  китайское чтение иероглифа)|1|
音|oto|звук; шум; связ. слава; известность|1|
音 が する|oto ga suru|издавать звук|1|
音|ne|звук; тон|1|
下|shita|низ|1|
下 に|shita ni|внизу|1|
下 から|shita kara|снизу|1|
下 の|shita no|нижний; находящийся внизу; нижестоящий; младший; послелог  под  чем  л.|1|
下|shimo|низ; нижнее течение; низы; нижестоящие; народ; массы; нижняя часть тела; гениталии|1|
下 の|shimo no|нижний|1|
下 に|moto ni|послелог  под; по; при|1|
下|GE|низший разряд; худшее; й том (из двух); 3- й том (из трех)|1|
下げる|sageru|спускать; опускать; понижать; снижать; вешать; вывешивать; носить (на цепочке; ремне и т.п.); отодвигать  [назад], убирать  [с дороги]; отпускать; давать уйти  кому  л.; убирать (посуду и т.п.); выдавать (разрешение и т.п.); снимать (деньги с банковского счета)|1|
下げ|sage|понижение; снижение; соль (шутки; анекдота)|1|
お下げ|osage|свешивающиеся сзади волосы|1|
下がる|sagaru|свешиваться; свисать; спускаться; спадать (о носках и т.п.); падать; понижаться; быть пониженным (в должности и т.п.); уходить; покидать; отступать назад|1|
下がる が|sagaru ga|быть полученным (о визе и т.п.)|1|
下がり|sagari|падение; снижение; провисание; упадок; ослабление; декоративный передник борца сумо|1|
お下がり|osagari|вещь; перешедшая от старшего  ребенка к младшему; синт. старое приношение в храм; взятое обратно; недоеденная гостями еда|1|
下る|kudaru|спускаться; сходить  [вниз]; падать; быть менее (ниже; хуже), уступать; уезжать  [из столицы]; быть изданным (о приказе и т.п.); расстроиться (о желудке); уйти в отставку; сдаться; деградировать|1|
下って|kudatte|позже; ближе к  какой  л. эпохе; эпист. что касается меня|1|
下り|kudari|спуск; дорога под гору; поезд из столицы; расстройство желудка; понос|1|
下らない|kudaranai|пустячный; ничтожный; никчемушный; нелепый; бессмысленный; вздорный|1|
下す|kudasu|спускать; опускать; давать (низшему), даровать; отдавать (приказ); выносить (решение); страдать поносом; приложить руки; сделать лично|1|
下さる|kudasaru|почт. давать; дарить; после деепричастия  изволить (о действии 2- го или 3- го лица)|1|
下さい|kudasai|пожалуйста|1|
下し|kudashi|опорожнение желудка; стул|1|
下りる|oriru|спускаться; сходить  [вниз]; опускаться; падать (о занавесе и т.п.); садиться (о птицах; самолетах и т.п.); исторгаться (телом); иметь выкидыш; выдаваться (о разрешениях и т.п.)|1|
下ろす|orosu|опускать; спускать; снимать; сгружать; спускать на воду (судно); снимать (деньги с банковского счета); надеть впервые; обновить; сделать аборт; выкинуть; натирать на терке; нарезать тонкими ломтиками (рыбу); вызывать духа (заклинаниями); мат. сносить (при умножении); занимать (при вычитании); синт. забирать обратно (старое приношение в храм)|1|
下ろし|oroshi|терка; тертая редька; синт. старое приношение в храм; взятое обратно|1|
下々|shimojimo|просторечное:  низы (общества)|1|
火|hi|огонь; пламя; свет; освещение|1|
火|KA|сокр. вторник|1|
花|hana|цветок; цветы вишни; обр. цвет; гордость  чего  л.; икэбана; цветочные карты; связ. красавица; чаевые; плата гейше|1|
花 の|hana no|цветочный|1|
花やか な|hanayaka na|яркий; цветущий; прекрасный|1|
花やぐ|hanayagu|расцвести; помолодеть; процветать|1|
貝|kai|раковина; моллюск с раковиной|1|
学|GAKU|учение; знания; наука|1|
学ぶ|manabu|учиться; изучать|1|
気|KI|воздух; пар; прямое и переносное:  атмосфера; дух; чувства; настроение; множество связанных значений|1|
気|KE|признак; след; привкус; ощущение|1|
気さく な|kisaku na|искренний; открытый; общительный; готовый помочь|1|
休む|yasumu|отдыхать; не работать; пропускать (занятия и т.п.)|1|
休み|yasumi|отдых; перерыв; выходной; каникулы|1|
休める|yasumeru|давать отдых; успокаивать|1|
休まる|yasumaru|успокаиваться|1|
休らう|yasurau|отдыхать|1|
お休みなさい|oyasuminasai|спокойной ночи!|1|
玉|tama|драгоценный камень; драгоценность; шар; мяч; шарик; бусинка; лампочка; линза; просторечное: [птичье]  яйцо; просторечное: [мужские]  яйца; слэнг  человек; связ. орудие  в чьих  л. руках|1|
玉|GYOKU|драгоценный камень; нефрит; яшма; бирж. объект сделки; проданные (купленные) акции; повременная оплата (гейши); просторечное:  яйцо; сеги  король|1|
金|kane|деньги; металл|1|
お金|okane|деньги|1|
金|KIN|золото; сокр. пятница; сеги|1|
九|KYUU|девять|1|
九|KU|девять|1|
九つ|kokonotsu|девять|1|
九々|KUKU|таблица умножения|1|
空|KUU|пустота; будд. шуньята; небо; воздух|1|
空|sora|небо; воздушное пространство|1|
空 で|sora de|наизусть; по памяти|1|
空 の|kara no|пустой; полый; порожний|1|
空っぽ な|karappo na|просторечное:|1|
空っぽ の|karappo no|пустой; полый; порожний|1|
空き|aki|пустой промежуток; свободное место; отверстие; щель|1|
空ける|akeru|освобождать (место); опорожнять; выливать; высыпать; связ. проделывать отверстие|1|
空く|aku|быть пустым (свободным; незанятым); иметь щель; иметь зазор; закончиться; подойти к концу|1|
空く|suku|быть пустым (свободным; незанятым); иметь щель; иметь зазор; закончиться; подойти к концу|1|
空しい|munashii|пустой; напрасный; тщетный; безжизненный; мертвый|1|
空々しい|sorazorashii|пустой; притворный; ясный; очевидный|1|
空ろ|utsuro|полость; дупло|1|
空ろ な|utsuro na|пустой; полый; отсутствующий|1|
空ろ|uro|полость; дупло|1|
空け|utsuke|рассеянность; мечтательность; болван; дурак|1|
月|tsuki|луна; месяц|1|
月 の|tsuki no|лунный|1|
月|GETSU|сокр. понедельник|1|
月々|tsukiduki|ежемесячно; помесячно|1|
犬|inu|собака; пес; обр. презр. шпик|1|
犬ころ|inukoro|щенок|1|
見る|miru|смотреть; видеть; считать  что  л. чем  л.; после деепр. пытаться; пробовать|1|
見える|mieru|мочь видеть; быть в состоянии разглядеть; виднеться; показываться; выглядеть; казаться|1|
見せる|miseru|показывать; давать смотреть; придавать вид|1|
見え|mie|внешний вид; наружность; поза; показной жест; поза актера (в театре кабуки)|1|
見みえる|mamieru|получать аудиенцию; встречаться; видеться; служить мужу|1|
見せしめ|miseshime|пример для других; урок|1|
見せびらかす|misebirakasu|щеголять; хвалиться  чем  л.|1|
見っともない|mittomonai|неприглядный; непристойный|1|
見てくれ|mitekure|наружность; внешний вид|1|
見そのわす|misonowasu|почт. соизволить осмотреть|1|
五|GO|пять|1|
五つ|itsutsu|пять|1|
口|kuchi|рот; уста; губы; язык; речь; слова; вкус; переносное:  едок; отверстие; горлышко; пробка; втулка; вход; выход; начало  чего  л.; рабочее место; вакансия; доля; пай; сорт; партия (товара)|1|
口 に する|kuchi ni suru|класть в рот; есть; пить; пробовать; сказать  о чем  л., упомянуть|1|
口 で|kuchi de|устно|1|
口々|kuchiguchi|все входы  [и выходы]|1|
口々 に|kuchiguchi ni|все разом; все как один|1|
校|KOU|>  сокр.; школа; корректура|1|
左 の|hidari no|левый|1|
三|SAN|три|1|
三つ|mitsu|три|1|
三つ|mittsu|три|1|
山|yama|гора; лес; рудник; груда; куча; тулья; кульминация; спекуляция|1|
山々|yamayama|горы; масса; куча; очень|1|
四|SHI|четыре|1|
四|yon|четыре|1|
四つ|yotsu|четыре|1|
四つ|yottsu|четыре|1|
子|ko|ребенок; детеныш|1|
子|ne|крыса (1- й знак кит. гороскопа); архаичное:  направление на север; архаичное:  время с 11  часов до 1  часа ночи|1|
お子さん|okosan|почт. ваш (его; ее) ребенок|1|
糸|ito|нить; нитка; леска|1|
字|JI|иероглиф; буква; знак; почерк; начертание|1|
字|aza|часть населенного пункта  с собственным названием|1|
字|azana|часть населенного пункта  с собственным названием; другое имя; прозвище; кличка|1|
耳|mimi|ухо; уши; слух|1|
七|SHICHI|семь|1|
七|nana|семь|1|
七つ|nanatsu|семь|1|
七つ|nana|семь|1|
車|kuruma|автомобиль; повозка; экипаж; телега; тележка; вагон; рикша; колесо|1|
手|te|рука; кисть; рабочие руки; работник; труд; усилия; почерк; рука; ручка; рукоятка; прием; трюк; средство; умение; род; сорт; ход (в настольных играх)|1|
手 も なく|te mo naku|без труда|1|
手ぶら|tebura|с пустыми руками|1|
手ぶら|teburade|с пустыми руками|1|
手ずから|tezukara|собственными руками; лично|1|
